config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.1,0.4,0.0,0.0,506,0.3287243127822876,0.8887962937355042,0.86137867,0.97551024,0.75625,0.9145792,0.77000934,0.87211686,0.8653755,24.2,7.8,1.2,47.6,0.3863743245601654,0.8823529362678528,0.84554815,0.9870968,0.72,0.9106701,0.7617379,0.8325,0.7996765,28.8,11.2,0.8,61.2
1,0.1,0.2,0.2,0.0,506,0.37895671725273133,0.8688888788223267,0.8447258,0.9591837,0.73125,0.8982393,0.72803843,0.8557478,0.8592721,23.4,8.6,2.0,46.8,0.34618765115737915,0.899999988079071,0.87537414,0.9741936,0.785,0.9219271,0.7937082,0.8714517,0.84302425,31.4,8.6,1.6,60.4
2,0.01,0.4,0.0,0.0001,506,0.38896865844726564,0.8367284059524536,0.80361396,1.0,0.5875,0.88702106,0.64253604,0.80187476,0.830363,18.8,13.2,0.0,48.8,0.37629249691963196,0.8529411673545837,0.82914627,0.9903226,0.64,0.8978769,0.6679419,0.7852016,0.7808275,25.6,14.4,0.6,61.4
3,0.01,0.0,0.2,0.0001,506,0.31317330002784727,0.9035185217857361,0.8633925,1.0,0.75625,0.92639524,0.8078098,0.8738826,0.86145604,24.2,7.8,0.0,48.8,0.3839648127555847,0.870588219165802,0.8261982,0.9967742,0.675,0.9034993,0.7417607,0.8209677,0.79525745,27.0,13.0,0.2,61.8
4,0.1,0.4,0.0,0.0001,506,0.4884765863418579,0.775092601776123,0.75853634,0.9835884,0.45625,0.8495058,0.48141536,0.7235797,0.73748434,14.6,17.4,0.8,48.0,0.4976415753364563,0.7588235259056091,0.7608345,0.948387,0.46499997,0.834929,0.43955308,0.7241532,0.76859826,18.6,21.4,3.2,58.8
5,0.1,0.0,0.0,0.0,506,0.3937939167022705,0.8516358017921448,0.8188596,0.9959184,0.63125,0.89522946,0.6944062,0.7995469,0.82080334,20.2,11.8,0.2,48.6,0.37521748542785643,0.8509804010391235,0.81748295,0.9967742,0.625,0.89507234,0.69218576,0.85705644,0.85567886,25.0,15.0,0.2,61.8
6,0.01,0.0,0.2,0.0001,506,0.41117067337036134,0.8293827056884766,0.7963818,0.9959184,0.575,0.8813757,0.6259953,0.7752737,0.8006913,18.4,13.6,0.2,48.6,0.41137356758117677,0.8392156839370728,0.807707,0.9967742,0.59499997,0.8885311,0.64294255,0.7541936,0.7684347,23.8,16.2,0.2,61.8
7,0.1,0.4,0.2,0.0,506,0.3530824601650238,0.891018521785736,0.86286485,0.9753402,0.7625,0.91551733,0.7755717,0.88075435,0.86294806,24.4,7.6,1.2,47.6,0.43827874660491944,0.8333333253860473,0.81735694,0.9354838,0.6750001,0.87207305,0.6496937,0.8128629,0.8010144,27.0,13.0,4.0,58.0
8,0.1,0.0,0.0,0.0,506,0.33878440856933595,0.8836419701576232,0.85554695,0.9712585,0.75,0.9096934,0.7602391,0.8761984,0.88140506,24.0,8.0,1.4,47.4,0.3671366453170776,0.8862745046615601,0.8539956,0.9806452,0.73999995,0.9128882,0.7667383,0.84624994,0.8214021,29.6,10.4,1.2,60.8
9,0.1,0.2,0.0,0.0,506,0.3433653175830841,0.8837036967277527,0.84889615,0.98367345,0.73125,0.9111285,0.76332414,0.8647002,0.8609536,23.4,8.6,0.8,48.0,0.3288913190364838,0.9176470518112183,0.896426,0.9774194,0.825,0.93511915,0.8290294,0.87366945,0.8294428,33.0,7.0,1.4,60.6
