inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,logdir
0.6706628799438477,0.604938268661499,0.6696873903274536,0.6078431606292725,414,1729075367,,False,1,fc796_00068,2024-10-16_12-42-47,1356.568805217743,1356.568805217743,6614,dge001,10.108.97.121,1356.568805217743,1,0.0001,0.001,0.6,64,0,0,fc796_00068
0.6720004677772522,0.604938268661499,0.6710331439971924,0.6078431606292725,321,1729075147,,False,1,fc796_00112,2024-10-16_12-39-07,1136.7288167476654,1136.7288167476654,6448,dge001,10.108.97.121,1136.7288167476654,1,0.001,0.1,0.4,64,0,0,fc796_00112
0.6706755757331848,0.604938268661499,0.6696622967720032,0.6078431606292725,40,1729073964,,False,1,fc796_00087,2024-10-16_12-19-24,478.39397287368774,478.39397287368774,32158,dge001,10.108.97.121,478.39397287368774,1,0.001,0.01,0.4,64,0,0,fc796_00087
0.6707175970077515,0.604938268661499,0.6697733998298645,0.6078431606292725,321,1729073950,,False,1,fc796_00093,2024-10-16_12-19-10,1123.2574241161346,1123.2574241161346,23233,dge001,10.108.97.121,1123.2574241161346,1,0.0001,0.01,0.6,64,0,0,fc796_00093
0.6707186102867126,0.604938268661499,0.6696151494979858,0.6078431606292725,0,1729073538,,False,1,fc796_00029,2024-10-16_12-12-18,385.1775302886963,385.1775302886963,27978,dge001,10.108.97.121,385.1775302886963,1,0.1,0.0001,0.8,64,0,0,fc796_00029
0.6706851124763489,0.604938268661499,0.6697015762329102,0.6078431606292725,40,1729073442,,False,1,fc796_00088,2024-10-16_12-10-42,486.3481810092926,486.3481810092926,25038,dge001,10.108.97.121,486.3481810092926,1,0.001,0.01,0.6,64,0,0,fc796_00088
0.6707687377929688,0.604938268661499,0.6698010563850403,0.6078431606292725,20,1729073104,,False,1,fc796_00057,2024-10-16_12-05-04,420.52414727211,420.52414727211,20439,dge001,10.108.97.121,420.52414727211,1,0.01,0.001,0.4,64,0,0,fc796_00057
0.6709557771682739,0.604938268661499,0.6697068810462952,0.6078431606292725,26,1729072893,,False,1,fc796_00054,2024-10-16_12-01-33,439.8395998477936,439.8395998477936,17294,dge001,10.108.97.121,439.8395998477936,1,0.1,0.001,0.8,64,0,0,fc796_00054
0.6705268025398254,0.604938268661499,0.6695566177368164,0.6078431606292725,216,1729072784,,False,1,fc796_00040,2024-10-16_11-59-44,886.2813036441803,886.2813036441803,9854,dge001,10.108.97.121,886.2813036441803,1,0.0001,0.0001,0.0,64,0,0,fc796_00040
0.6706784963607788,0.604938268661499,0.6696755886077881,0.6078431606292725,322,1729072641,,False,1,fc796_00091,2024-10-16_11-57-21,1126.4458949565887,1126.4458949565887,4961,dge001,10.108.97.121,1126.4458949565887,1,0.0001,0.01,0.2,64,0,0,fc796_00091
