inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,logdir
0.6716663837432861,0.604938268661499,0.6707907319068909,0.6078431606292725,1233,1729269445,,False,1,27c60_00094,2024-10-18_18-37-25,1694.3345839977264,1694.3345839977264,241016,agq005,10.108.101.5,1694.3345839977264,1,0.0001,0.01,0.8,506,0,0,27c60_00094
0.6711854338645935,0.604938268661499,0.6700949668884277,0.6078431606292725,2547,1729269169,,False,1,27c60_00090,2024-10-18_18-32-49,3335.03036570549,3335.03036570549,217587,agq005,10.108.101.5,3335.03036570549,1,0.0001,0.01,0.0,506,0,0,27c60_00090
0.6713522672653198,0.604938268661499,0.6704387068748474,0.6078431606292725,974,1729268699,,False,1,27c60_00093,2024-10-18_18-24-59,1397.7625334262848,1397.7625334262848,235360,agq005,10.108.101.5,1397.7625334262848,1,0.0001,0.01,0.6,506,0,0,27c60_00093
0.6712266206741333,0.604938268661499,0.6704042553901672,0.6078431606292725,4566,1729267728,,False,1,27c60_00074,2024-10-18_18-08-48,5857.149657487869,5857.149657487869,165624,agq005,10.108.101.5,5857.149657487869,1,1e-05,0.001,0.8,506,0,0,27c60_00074
0.6712790727615356,0.604938268661499,0.6703463792800903,0.6078431606292725,789,1729267719,,False,1,27c60_00092,2024-10-18_18-08-39,1192.1471486091614,1192.1471486091614,226101,agq005,10.108.101.5,1192.1471486091614,1,0.0001,0.01,0.4,506,0,0,27c60_00092
0.6712387204170227,0.604938268661499,0.670280933380127,0.6078431606292725,974,1729267263,,False,1,27c60_00091,2024-10-18_18-01-03,1429.0330727100372,1429.0330727100372,217685,agq005,10.108.101.5,1429.0330727100372,1,0.0001,0.01,0.2,506,0,0,27c60_00091
0.6705425977706909,0.604938268661499,0.6695959568023682,0.6078431606292725,9654,1729266494,,False,1,27c60_00071,2024-10-18_17-48-14,11978.379957199097,11978.379957199097,80847,agq005,10.108.101.5,11978.379957199097,1,1e-05,0.001,0.2,506,0,0,27c60_00071
0.6715487241744995,0.604938268661499,0.6707553267478943,0.6078431606292725,46,1729265806,,False,1,27c60_00089,2024-10-18_17-36-46,289.88145089149475,289.88145089149475,213118,agq005,10.108.101.5,289.88145089149475,1,0.001,0.01,0.8,506,0,0,27c60_00089
0.6710339784622192,0.604938268661499,0.6701542139053345,0.6078431606292725,41,1729265801,,False,1,27c60_00088,2024-10-18_17-36-41,285.4565198421478,285.4565198421478,213058,agq005,10.108.101.5,285.4565198421478,1,0.001,0.01,0.6,506,0,0,27c60_00088
0.6709433794021606,0.604938268661499,0.6700412631034851,0.6078431606292725,40,1729265485,,False,1,27c60_00087,2024-10-18_17-31-25,280.61573791503906,280.61573791503906,208792,agq005,10.108.101.5,280.61573791503906,1,0.001,0.01,0.4,506,0,0,27c60_00087
