,inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,logdir,inner_es_precision,inner_es_recall,inner_es_specificity,inner_es_f1_score,inner_es_mcc,inner_es_auroc,inner_es_auprc,inner_es_true_positives,inner_es_false_negatives,inner_es_false_positives,inner_es_true_negatives,val_precision,val_recall,val_specificity,val_f1_score,val_mcc,val_auroc,val_auprc,val_true_positives,val_false_negatives,val_false_positives,val_true_negatives
1160,0.6691968441009521,0.6022727489471436,0.6409672498703003,0.6576576828956604,6037,1777265019,,False,1,4088d_00080,2026-04-27_06-43-39,4906.386803150177,4906.386803150177,2565779,ggpu131,10.241.148.31,4906.386803150177,1,689,8,0,0.0001,0.0001,0.2,4088d_00080,0.61702126,0.6304348,0.5714286,0.6236559,0.20212507,0.63612837,0.5979823,24.0,18.0,17.0,29.0,0.6515151,0.7413793,0.5660377,0.6935484,0.3127531,0.6750162,0.653798,30.0,23.0,15.0,43.0
1161,0.6331767439842224,0.6741573214530945,0.6477371454238892,0.6454545259475708,9999,1777268153,,False,1,4088d_00081,2026-04-27_07-35-53,7949.169271707535,7949.169271707535,2566579,ggpu131,10.241.148.31,7949.169271707535,1,689,8,1,0.0001,0.0001,0.2,4088d_00081,0.6603774,0.76086956,0.5813953,0.7070707,0.3484868,0.67644083,0.636607,25.0,18.0,11.0,35.0,0.64179105,0.7413793,0.53846157,0.688,0.28632227,0.6687666,0.61856097,28.0,24.0,15.0,43.0
1162,0.6531499624252319,0.6067415475845337,0.6189084053039551,0.7454545497894287,9997,1777268453,,False,1,4088d_00082,2026-04-27_07-40-53,8043.407570838928,8043.407570838928,2567488,ggpu131,10.241.148.31,8043.407570838928,1,689,8,2,0.0001,0.0001,0.2,4088d_00082,0.6037736,0.6956522,0.5116279,0.64646465,0.21104814,0.6253792,0.56815344,22.0,21.0,14.0,32.0,0.72727275,0.82758623,0.65384614,0.7741935,0.49062836,0.75265247,0.6832305,34.0,18.0,10.0,48.0
1163,0.6295919418334961,0.7078651785850525,0.622987687587738,0.6818181872367859,9999,1777268422,,False,1,4088d_00083,2026-04-27_07-40-22,7986.766599655151,7986.766599655151,2568188,ggpu131,10.241.148.31,7986.766599655151,1,689,8,3,0.0001,0.0001,0.2,4088d_00083,0.6909091,0.80851066,0.5952381,0.74509805,0.41482404,0.69300914,0.6416359,25.0,17.0,9.0,38.0,0.6571429,0.80701756,0.5471698,0.72440946,0.3678997,0.7279046,0.70121,29.0,24.0,11.0,46.0
1164,0.6174838542938232,0.7303370833396912,0.6314905881881714,0.6363636255264282,9997,1777273029,,False,1,4088d_00084,2026-04-27_08-57-09,7997.649611711502,7997.649611711502,2576189,ggpu131,10.241.148.31,7997.649611711502,1,689,8,4,0.0001,0.0001,0.2,4088d_00084,0.69491524,0.87234044,0.5714286,0.7735849,0.4686449,0.7071935,0.6342818,24.0,18.0,6.0,41.0,0.63076925,0.71929824,0.5471698,0.6721311,0.27080557,0.6822244,0.6528691,29.0,24.0,16.0,41.0
1165,0.6807286739349365,0.6136363744735718,0.6649153828620911,0.6486486196517944,2918,1777270653,,False,1,4088d_00085,2026-04-27_08-17-33,2489.866710662842,2489.866710662842,2581944,ggpu131,10.241.148.31,2489.866710662842,1,689,8,0,0.0001,0.0001,0.4,4088d_00085,0.61538464,0.6956522,0.52380955,0.6530612,0.22295098,0.6081781,0.57395583,22.0,20.0,14.0,32.0,0.63380283,0.7758621,0.509434,0.6976744,0.2968168,0.6512687,0.62399125,27.0,26.0,13.0,45.0
1166,0.6432089805603027,0.6629213690757751,0.651461124420166,0.6545454263687134,9997,1777276472,,False,1,4088d_00086,2026-04-27_09-54-32,8041.657146453857,8041.657146453857,2583026,ggpu131,10.241.148.31,8041.657146453857,1,689,8,1,0.0001,0.0001,0.4,4088d_00086,0.6481481,0.76086956,0.55813956,0.7,0.32635128,0.66734076,0.6241671,24.0,19.0,11.0,35.0,0.6515151,0.7413793,0.5576923,0.6935484,0.30478427,0.6697613,0.6200429,29.0,23.0,15.0,43.0
1167,0.6606239676475525,0.5955055952072144,0.6313677430152893,0.7545454502105713,9978,1777276413,,False,1,4088d_00087,2026-04-27_09-53-33,7952.633354663849,7952.633354663849,2583661,ggpu131,10.241.148.31,7952.633354663849,1,689,8,2,0.0001,0.0001,0.4,4088d_00087,0.5925926,0.6956522,0.4883721,0.64,0.18825969,0.6157735,0.56119907,21.0,22.0,14.0,32.0,0.7183099,0.87931037,0.61538464,0.7906977,0.51628757,0.74502647,0.6690941,32.0,20.0,7.0,51.0
1168,0.6454230546951294,0.6741573214530945,0.6414229869842529,0.6727272868156433,9999,1777278758,,False,1,4088d_00088,2026-04-27_10-32-38,8093.733198642731,8093.733198642731,2587899,ggpu131,10.241.148.31,8093.733198642731,1,689,8,3,0.0001,0.0001,0.4,4088d_00088,0.6551724,0.80851066,0.52380955,0.72380954,0.34820533,0.683384,0.6266629,22.0,20.0,9.0,38.0,0.64788735,0.80701756,0.5283019,0.71875,0.3502455,0.7020854,0.6711939,28.0,25.0,11.0,46.0
1169,0.6331726312637329,0.7303370833396912,0.6466895341873169,0.6181818246841431,9992,1777281245,,False,1,4088d_00089,2026-04-27_11-14-05,8207.609319210052,8207.609319210052,2592404,ggpu131,10.241.148.31,8207.609319210052,1,689,8,4,0.0001,0.0001,0.4,4088d_00089,0.69491524,0.87234044,0.5714286,0.7735849,0.4686449,0.70060796,0.6255526,24.0,18.0,6.0,41.0,0.6119403,0.71929824,0.509434,0.66129035,0.23422381,0.6666667,0.6230345,27.0,26.0,16.0,41.0
