,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0,0.001,0.0,0.0,689,0.584712702035904,0.6895986795425415,0.67855084,0.7986086,0.57089984,0.7303732,0.3815882,0.7344843,0.7396408,30.0,22.6,11.6,46.0,0.5564782202243805,0.708695650100708,0.7044277,0.78611106,0.6242424,0.7385477,0.42076856,0.79086703,0.79692984,41.2,24.8,15.4,56.6
1,1,0.001,0.0,0.0001,689,0.5631397783756256,0.7169697046279907,0.7081629,0.7777375,0.650508,0.74105024,0.43330342,0.77818096,0.7863613,34.2,18.4,12.8,44.8,0.5670210838317871,0.7057971119880676,0.6962466,0.77500004,0.630303,0.733245,0.41071042,0.79158247,0.8251184,41.6,24.4,16.2,55.8
2,2,0.01,0.0,0.0,689,0.6084478974342347,0.6406715750694275,0.6346365,0.79128855,0.474238,0.69706786,0.29027957,0.7047891,0.7112757,25.0,27.6,12.0,45.6,0.5752113103866577,0.6855072498321533,0.66708994,0.8527778,0.5030303,0.74232626,0.37206608,0.7678031,0.7565106,33.2,32.8,10.6,61.4
3,3,0.001,0.0,0.0,689,0.5687631368637085,0.6859786987304688,0.67515314,0.81276476,0.54818577,0.73193926,0.37696037,0.75340545,0.75814915,28.8,23.8,10.8,46.8,0.5820900559425354,0.6942029118537902,0.6855413,0.7861111,0.5939394,0.7280561,0.3958195,0.75484,0.7622485,39.2,26.8,15.4,56.6
4,4,0.001,0.0,0.0,689,0.538871568441391,0.7022768139839173,0.70020545,0.7603146,0.6380987,0.72813755,0.4027478,0.7984392,0.82054913,33.6,19.0,13.8,43.8,0.5293797016143799,0.7246376872062683,0.7211711,0.77222216,0.6727272,0.74513876,0.44860655,0.7944865,0.77821815,44.4,21.6,16.4,55.6
5,5,0.001,0.0,0.0,689,0.5614992022514343,0.6986732006072998,0.6937077,0.7638234,0.62757623,0.7265887,0.3956478,0.77721184,0.7959818,33.0,19.6,13.6,44.0,0.5474729299545288,0.7579710125923157,0.74544233,0.81388885,0.6969697,0.7775772,0.5167207,0.79861104,0.78508097,46.0,20.0,13.4,58.6
6,6,0.001,0.0,0.0,689,0.5495496988296509,0.722293210029602,0.7278455,0.7498487,0.69179976,0.7381879,0.44338116,0.7959444,0.81209743,36.4,16.2,14.4,43.2,0.55231773853302,0.6913043618202209,0.6935336,0.73333335,0.6454546,0.7126912,0.38064295,0.7799243,0.80537003,42.6,23.4,19.2,52.8
7,7,0.001,0.0,0.0,689,0.5982688307762146,0.6717772245407104,0.6628133,0.82607377,0.50297534,0.72740614,0.33555248,0.71255654,0.7177961,26.4,26.2,10.0,47.6,0.5503649711608887,0.7173913002014161,0.69180113,0.89444447,0.52424246,0.7732933,0.4322714,0.81426764,0.82075995,34.6,31.4,7.6,64.4
8,8,0.01,0.0,0.0,689,0.535993629693985,0.7204258918762207,0.7132887,0.78094375,0.6544267,0.74538827,0.43938747,0.8037217,0.82370645,34.4,18.2,12.6,45.0,0.5743987798690796,0.726086962223053,0.7412488,0.73055553,0.72121215,0.73379797,0.4545165,0.77697814,0.77941453,47.6,18.4,19.4,52.6
9,9,0.01,0.0,0.0,689,0.5809149980545044,0.6987715005874634,0.6864306,0.8124622,0.57322204,0.7404366,0.39848885,0.75501734,0.7569992,30.2,22.4,10.8,46.8,0.583439314365387,0.6811594247817994,0.66871125,0.79722226,0.55454546,0.7226395,0.37087503,0.74823236,0.7475234,36.6,29.4,14.6,57.4
