,outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate,outer_es_precision,outer_es_recall,outer_es_specificity,outer_es_f1_score,outer_es_mcc,outer_es_auroc,outer_es_auprc,outer_es_true_positives,outer_es_false_negatives,outer_es_false_positives,outer_es_true_negatives,test_precision,test_recall,test_specificity,test_f1_score,test_mcc,test_auroc,test_auprc,test_true_positives,test_false_negatives,test_false_positives,test_true_negatives
0,0.2435713708400726,0.9099099040031432,0.2815859019756317,0.8695651888847351,884,1777723271,,False,1,a823e_00000,2026-05-02_14-01-11,2979.586868286133,2979.586868286133,156338,ggpu133,10.241.148.33,2979.586868286133,1,0,a823e_00000,0,0.01,0.0,689,0.2,0.9137931,0.9137931,0.9056604,0.9137931,0.8194535,0.9629148,0.9602277,48.0,5.0,5.0,53.0,0.8375,0.9305556,0.8030303,0.8815789,0.7423867,0.94907415,0.94976664,53.0,13.0,5.0,67.0
1,0.3110195994377136,0.8363636136054993,0.3406153321266174,0.8623188138008118,956,1777723504,,False,1,a823e_00001,2026-05-02_14-05-04,3212.2989468574524,3212.2989468574524,156401,ggpu133,10.241.148.33,3212.2989468574524,1,1,a823e_00001,0,0.01,0.0,689,0.2,0.82258064,0.87931037,0.78846157,0.85,0.67224467,0.93667114,0.9346591,41.0,11.0,7.0,51.0,0.8117647,0.9583333,0.75757575,0.8789809,0.7352731,0.9282407,0.90633065,50.0,16.0,3.0,69.0
2,0.2923685014247894,0.8727272748947144,0.3110055029392242,0.8768116235733032,1559,1777725299,,False,1,a823e_00002,2026-05-02_14-34-59,5007.6797749996185,5007.6797749996185,156341,ggpu133,10.241.148.33,5007.6797749996185,1,2,a823e_00002,0,0.01,0.0,689,0.2,0.8548387,0.9137931,0.8269231,0.8833333,0.74567753,0.94496024,0.9461665,43.0,9.0,5.0,53.0,0.83950615,0.9444444,0.8030303,0.8888889,0.758324,0.93476427,0.93265057,53.0,13.0,4.0,68.0
3,0.2769475281238556,0.8909090757369995,0.2877455353736877,0.8623188138008118,1076,1777723882,,False,1,a823e_00003,2026-05-02_14-11-22,3590.5243504047394,3590.5243504047394,156337,ggpu133,10.241.148.33,3590.5243504047394,1,3,a823e_00003,0,0.01,0.0,689,0.2,0.88135594,0.9122807,0.8679245,0.8965517,0.7817594,0.95564383,0.95833147,46.0,7.0,5.0,52.0,0.835443,0.9166667,0.8030303,0.8741722,0.7266886,0.9482323,0.94711405,53.0,13.0,6.0,66.0
4,0.2782450020313263,0.8909090757369995,0.2870419323444366,0.8768116235733032,1023,1777726676,,False,1,a823e_00004,2026-05-02_14-57-56,3394.527562618256,3394.527562618256,164428,ggpu133,10.241.148.33,3394.527562618256,1,4,a823e_00004,0,0.01,0.0,689,0.2,0.86885244,0.9298246,0.8490566,0.89830506,0.78303933,0.95762986,0.9649876,45.0,8.0,4.0,53.0,0.83950615,0.9444444,0.8030303,0.8888889,0.758324,0.9482323,0.944712,53.0,13.0,4.0,68.0
5,0.2432107180356979,0.8828828930854797,0.3338475525379181,0.8188405632972717,747,1778446731,,False,1,0b282_00000,2026-05-10_22-58-51,2571.1314442157745,2571.1314442157745,2769055,ggpu134,10.241.148.34,2571.1314442157745,1,0,0b282_00000,1,0.01,0.0,689,0.2,0.88135594,0.8965517,0.8679245,0.8888889,0.76522344,0.9668184,0.97055435,46.0,7.0,6.0,52.0,0.8405797,0.8055556,0.8333333,0.822695,0.63828474,0.93371207,0.92756855,55.0,11.0,14.0,58.0
6,0.2846094965934753,0.8999999761581421,0.3095133006572723,0.8623188138008118,1556,1778449175,,False,1,0b282_00001,2026-05-10_23-39-35,5015.196005821228,5015.196005821228,2769053,ggpu134,10.241.148.34,5015.196005821228,1,1,0b282_00001,1,0.01,0.0,689,0.2,0.8965517,0.9122807,0.8867925,0.90434784,0.79973525,0.9493545,0.94758,47.0,6.0,5.0,52.0,0.835443,0.9166667,0.8030303,0.8741722,0.7266886,0.9349748,0.92834437,53.0,13.0,6.0,66.0
7,0.3998246490955353,0.8454545736312866,0.3245531916618347,0.8478260636329651,717,1778446662,,False,1,0b282_00002,2026-05-10_22-57-42,2502.7205080986023,2502.7205080986023,2769052,ggpu134,10.241.148.34,2502.7205080986023,1,2,0b282_00002,1,0.01,0.0,689,0.2,0.8333333,0.877193,0.8113208,0.85470086,0.69091934,0.8937438,0.8786274,43.0,10.0,7.0,50.0,0.85915494,0.8472222,0.8484849,0.85314685,0.69534135,0.9358164,0.9283505,56.0,10.0,11.0,61.0
8,0.2216409146785736,0.8909090757369995,0.3378883004188537,0.8260869383811951,983,1778447471,,False,1,0b282_00003,2026-05-10_23-11-11,3312.057733058929,3312.057733058929,2769051,ggpu134,10.241.148.34,3312.057733058929,1,3,0b282_00003,1,0.01,0.0,689,0.2,0.8965517,0.8965517,0.88461536,0.8965517,0.7811671,0.97480106,0.9800683,46.0,6.0,6.0,52.0,0.8636364,0.7916667,0.8636364,0.82608694,0.655303,0.9337121,0.93136317,57.0,9.0,15.0,57.0
9,0.1792381852865219,0.8909090757369995,0.346070796251297,0.8405796885490417,1434,1778451365,,False,1,0b282_00004,2026-05-11_00-16-05,4691.591989517212,4691.591989517212,2775156,ggpu134,10.241.148.34,4691.591989517212,1,4,0b282_00004,1,0.01,0.0,689,0.2,0.8833333,0.9137931,0.86538464,0.89830506,0.78125274,0.98176396,0.9843652,45.0,7.0,5.0,53.0,0.82894737,0.875,0.8030303,0.8513514,0.6809021,0.93350166,0.9242522,53.0,13.0,9.0,63.0
