outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate
0.33740177750587463,0.8888888955116272,0.2568458914756775,0.9215686321258545,56,1753264084,,False,1,b38a7_00047,2025-07-23_11-48-04,196.5049135684967,196.5049135684967,2019749,ggpu123,10.241.148.23,196.5049135684967,1,2,b38a7_00047,9,0.01,0.001,506,0.2
0.6659263372421265,0.604938268661499,0.6655688285827637,0.6078431606292725,12,1753264034,,False,1,b38a7_00032,2025-07-23_11-47-14,145.8390166759491,145.8390166759491,2019746,ggpu123,10.241.148.23,145.8390166759491,1,2,b38a7_00032,6,0.01,0.01,506,0.0
0.37398454546928406,0.8518518805503845,0.3372928500175476,0.8725489974021912,58,1753264083,,False,1,b38a7_00043,2025-07-23_11-48-03,194.99982237815857,194.99982237815857,2019750,ggpu123,10.241.148.23,194.99982237815857,1,3,b38a7_00043,8,0.001,0.01,506,0.0
0.6646249890327454,0.604938268661499,0.6633355617523193,0.6078431606292725,10,1753264030,,False,1,b38a7_00008,2025-07-23_11-47-10,141.70874667167664,141.70874667167664,2019748,ggpu123,10.241.148.23,141.70874667167664,1,3,b38a7_00008,1,0.01,0.01,506,0.2
0.40676355361938477,0.8500000238418579,0.2938911020755768,0.9215686321258545,103,1753264281,,False,1,b38a7_00014,2025-07-23_11-51-21,242.6585190296173,242.6585190296173,2021725,ggpu123,10.241.148.23,242.6585190296173,1,4,b38a7_00014,2,0.01,0.01,506,0.2
0.3299150764942169,0.8765432238578796,0.32940995693206787,0.8921568393707275,83,1753264262,,False,1,b38a7_00030,2025-07-23_11-51-02,221.34089517593384,221.34089517593384,2021961,ggpu123,10.241.148.23,221.34089517593384,1,0,b38a7_00030,6,0.01,0.01,506,0.0
0.3017238974571228,0.887499988079071,0.35272344946861267,0.8823529481887817,64,1753264293,,False,1,b38a7_00044,2025-07-23_11-51-33,202.12313437461853,202.12313437461853,2023207,ggpu123,10.241.148.23,202.12313437461853,1,4,b38a7_00044,8,0.001,0.01,506,0.0
0.6669089198112488,0.604938268661499,0.6667749285697937,0.6078431606292725,13,1753264234,,False,1,b38a7_00002,2025-07-23_11-50-34,143.13332176208496,143.13332176208496,2023271,ggpu123,10.241.148.23,143.13332176208496,1,2,b38a7_00002,0,0.01,0.0001,506,0.0
0.31941768527030945,0.8765432238578796,0.34770217537879944,0.8823529481887817,54,1753264431,,False,1,b38a7_00042,2025-07-23_11-53-51,187.93256831169128,187.93256831169128,2024336,ggpu123,10.241.148.23,187.93256831169128,1,2,b38a7_00042,8,0.001,0.01,506,0.0
0.43394017219543457,0.8395061492919922,0.367980420589447,0.8823529481887817,92,1753264500,,False,1,b38a7_00027,2025-07-23_11-55-00,229.68040537834167,229.68040537834167,2025013,ggpu123,10.241.148.23,229.68040537834167,1,2,b38a7_00027,5,0.0001,0.0001,506,0.4
0.26821452379226685,0.8888888955116272,0.4423982501029968,0.843137264251709,129,1753264563,,False,1,b38a7_00038,2025-07-23_11-56-03,274.99628376960754,274.99628376960754,2025627,ggpu123,10.241.148.23,274.99628376960754,1,3,b38a7_00038,7,0.001,0.01,506,0.0
0.27925053238868713,0.8999999761581421,0.36973702907562256,0.8627451062202454,167,1753264618,,False,1,b38a7_00034,2025-07-23_11-56-58,317.53387236595154,317.53387236595154,2026084,ggpu123,10.241.148.23,317.53387236595154,1,4,b38a7_00034,6,0.01,0.01,506,0.0
0.6709617376327515,0.604938268661499,0.6697393655776978,0.6078431606292725,256,1753264860,,False,1,b38a7_00021,2025-07-23_12-01-00,418.8863892555237,418.8863892555237,2027005,ggpu123,10.241.148.23,418.8863892555237,1,1,b38a7_00021,4,0.01,0.0001,506,0.2
0.42026716470718384,0.8271604776382446,0.41315895318984985,0.8333333134651184,129,1753264782,,False,1,b38a7_00000,2025-07-23_11-59-42,273.62009382247925,273.62009382247925,2027755,ggpu123,10.241.148.23,273.62009382247925,1,0,b38a7_00000,0,0.01,0.0001,506,0.0
0.3604937493801117,0.8641975522041321,0.2770264148712158,0.9215686321258545,136,1753264849,,False,1,b38a7_00013,2025-07-23_12-00-49,277.30792760849,277.30792760849,2028445,ggpu123,10.241.148.23,277.30792760849,1,3,b38a7_00013,2,0.01,0.01,506,0.2
0.36089468002319336,0.8765432238578796,0.32528313994407654,0.8823529481887817,85,1753264848,,False,1,b38a7_00020,2025-07-23_12-00-48,222.3271656036377,222.3271656036377,2029073,ggpu123,10.241.148.23,222.3271656036377,1,0,b38a7_00020,4,0.01,0.0001,506,0.2
