outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate
0.3741385042667389,0.8518518805503845,0.32264983654022217,0.8823529481887817,31,1762569786,,False,1,7c9da_00000,2025-11-08_03-43-06,64.79793190956116,64.79793190956116,3571691,ggpu125,10.241.148.25,64.79793190956116,1,0,7c9da_00000,0,0.001,0.01,506,0.4
0.2883623540401459,0.9012345671653748,0.32648301124572754,0.8823529481887817,151,1762569835,,False,1,7c9da_00001,2025-11-08_03-43-55,113.68728947639465,113.68728947639465,3571692,ggpu125,10.241.148.25,113.68728947639465,1,1,7c9da_00001,0,0.001,0.01,506,0.4
0.24190843105316162,0.9259259104728699,0.3276822566986084,0.8823529481887817,38,1762569791,,False,1,7c9da_00002,2025-11-08_03-43-11,68.99223113059998,68.99223113059998,3571690,ggpu125,10.241.148.25,68.99223113059998,1,2,7c9da_00002,0,0.001,0.01,506,0.4
0.3356172442436218,0.8765432238578796,0.32743653655052185,0.8823529481887817,167,1762569835,,False,1,7c9da_00003,2025-11-08_03-43-55,113.82172799110413,113.82172799110413,3571693,ggpu125,10.241.148.25,113.82172799110413,1,3,7c9da_00003,0,0.001,0.01,506,0.4
0.16283991932868958,0.9624999761581421,0.3288760483264923,0.8823529481887817,36,1762569863,,False,1,7c9da_00004,2025-11-08_03-44-23,66.76063942909241,66.76063942909241,3573796,ggpu125,10.241.148.25,66.76063942909241,1,4,7c9da_00004,0,0.001,0.01,506,0.4
0.28966864943504333,0.9012345671653748,0.2744920551776886,0.9117646813392639,469,1762570035,,False,1,7c9da_00005,2025-11-08_03-47-15,237.43294501304626,237.43294501304626,3573954,ggpu125,10.241.148.25,237.43294501304626,1,0,7c9da_00005,1,0.0001,0.01,506,0.4
0.2510935962200165,0.9259259104728699,0.27377626299858093,0.9117646813392639,232,1762569987,,False,1,7c9da_00006,2025-11-08_03-46-27,144.0035800933838,144.0035800933838,3575111,ggpu125,10.241.148.25,144.0035800933838,1,1,7c9da_00006,1,0.0001,0.01,506,0.4
0.4063577950000763,0.8395061492919922,0.2699163854122162,0.9117646813392639,236,1762569985,,False,1,7c9da_00007,2025-11-08_03-46-25,142.5129680633545,142.5129680633545,3575144,ggpu125,10.241.148.25,142.5129680633545,1,2,7c9da_00007,1,0.0001,0.01,506,0.4
0.2670304477214813,0.9135802388191223,0.27307090163230896,0.9117646813392639,205,1762570002,,False,1,7c9da_00008,2025-11-08_03-46-42,131.17526197433472,131.17526197433472,3576192,ggpu125,10.241.148.25,131.17526197433472,1,3,7c9da_00008,1,0.0001,0.01,506,0.4
0.28260526061058044,0.8999999761581421,0.2738528549671173,0.9117646813392639,611,1762570288,,False,1,7c9da_00009,2025-11-08_03-51-28,293.91480469703674,293.91480469703674,3577121,ggpu125,10.241.148.25,293.91480469703674,1,4,7c9da_00009,1,0.0001,0.01,506,0.4
0.16840575635433197,0.9629629850387573,0.2549021542072296,0.9215686321258545,4,1762570050,,False,1,7c9da_00010,2025-11-08_03-47-30,55.61633515357971,55.61633515357971,3577190,ggpu125,10.241.148.25,55.61633515357971,1,0,7c9da_00010,2,0.01,0.1,506,0.4
0.33292728662490845,0.8888888955116272,0.2858617901802063,0.9215686321258545,12,1762570065,,False,1,7c9da_00011,2025-11-08_03-47-45,56.17720818519592,56.17720818519592,3577832,ggpu125,10.241.148.25,56.17720818519592,1,1,7c9da_00011,2,0.01,0.1,506,0.4
0.34557652473449707,0.8765432238578796,0.27979227900505066,0.9215686321258545,160,1762570159,,False,1,7c9da_00012,2025-11-08_03-49-19,115.70476841926575,115.70476841926575,3578805,ggpu125,10.241.148.25,115.70476841926575,1,2,7c9da_00012,2,0.01,0.1,506,0.4
0.36177945137023926,0.8641975522041321,0.28096678853034973,0.9215686321258545,157,1762570173,,False,1,7c9da_00013,2025-11-08_03-49-33,112.53297448158264,112.53297448158264,3579288,ggpu125,10.241.148.25,112.53297448158264,1,3,7c9da_00013,2,0.01,0.1,506,0.4
0.34203386306762695,0.875,0.27278444170951843,0.9215686321258545,4,1762570128,,False,1,7c9da_00014,2025-11-08_03-48-48,54.98255467414856,54.98255467414856,3579895,ggpu125,10.241.148.25,54.98255467414856,1,4,7c9da_00014,2,0.01,0.1,506,0.4
0.3475094139575958,0.8765432238578796,0.3579625189304352,0.8725489974021912,552,1762570403,,False,1,7c9da_00015,2025-11-08_03-53-23,265.1740388870239,265.1740388870239,3580737,ggpu125,10.241.148.25,265.1740388870239,1,0,7c9da_00015,3,0.0001,0.1,506,0.2
0.23487712442874908,0.9382715821266174,0.3577544391155243,0.8725489974021912,273,1762570325,,False,1,7c9da_00016,2025-11-08_03-52-05,157.83860993385315,157.83860993385315,3581419,ggpu125,10.241.148.25,157.83860993385315,1,1,7c9da_00016,3,0.0001,0.1,506,0.2
0.3419142961502075,0.8765432238578796,0.3583662807941437,0.8725489974021912,396,1762570380,,False,1,7c9da_00017,2025-11-08_03-53-00,199.88611721992493,199.88611721992493,3581903,ggpu125,10.241.148.25,199.88611721992493,1,2,7c9da_00017,3,0.0001,0.1,506,0.2
