inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,logdir
0.4167831838130951,0.8395061492919922,0.5312696099281311,0.7450980544090271,2526,1730059794,,False,1,ca8ab_00000,2024-10-27_21-09-54,3252.7956290245056,3252.7956290245056,126705,agq005,10.108.101.5,3252.7956290245056,1,0.1,0.0,0.0,506,0,0,ca8ab_00000
0.6412559747695923,0.6913580298423767,0.6284661889076233,0.7058823704719543,169,1730056993,,False,1,ca8ab_00001,2024-10-27_20-23-13,451.9326424598694,451.9326424598694,126706,agq005,10.108.101.5,451.9326424598694,1,0.1,0.0,0.2,506,0,0,ca8ab_00001
0.6706618666648865,0.604938268661499,0.6694006323814392,0.6078431606292725,10,1730056795,,False,1,ca8ab_00002,2024-10-27_20-19-55,253.68831086158752,253.68831086158752,126707,agq005,10.108.101.5,253.68831086158752,1,0.1,0.0,0.4,506,0,0,ca8ab_00002
0.6702255606651306,0.604938268661499,0.6696376204490662,0.6078431606292725,1,1730056784,,False,1,ca8ab_00003,2024-10-27_20-19-44,242.49750423431396,242.49750423431396,126708,agq005,10.108.101.5,242.49750423431396,1,0.1,0.0,0.6,506,0,0,ca8ab_00003
0.6708078384399414,0.604938268661499,0.6698358058929443,0.6078431606292725,8,1730057051,,False,1,ca8ab_00004,2024-10-27_20-24-11,236.3770308494568,236.3770308494568,131102,agq005,10.108.101.5,236.3770308494568,1,0.1,0.0,0.8,506,0,0,ca8ab_00004
0.3313480615615845,0.9012345671653748,0.3315088748931885,0.8921568393707275,4100,1730061897,,False,1,ca8ab_00005,2024-10-27_21-44-57,5081.428690433502,5081.428690433502,131212,agq005,10.108.101.5,5081.428690433502,1,0.01,0.0,0.0,506,0,0,ca8ab_00005
0.42717328667640686,0.8888888955116272,0.4539339542388916,0.8529411554336548,1321,1730058820,,False,1,ca8ab_00006,2024-10-27_20-53-40,1797.4005603790283,1797.4005603790283,134212,agq005,10.108.101.5,1797.4005603790283,1,0.01,0.0,0.2,506,0,0,ca8ab_00006
0.4789693355560303,0.8395061492919922,0.49576711654663086,0.8333333134651184,734,1730058186,,False,1,ca8ab_00007,2024-10-27_20-43-06,1102.8786776065826,1102.8786776065826,135182,agq005,10.108.101.5,1102.8786776065826,1,0.01,0.0,0.4,506,0,0,ca8ab_00007
0.5154240727424622,0.8271604776382446,0.5274445414543152,0.813725471496582,900,1730059521,,False,1,ca8ab_00008,2024-10-27_21-05-21,1296.8613872528076,1296.8613872528076,148629,agq005,10.108.101.5,1296.8613872528076,1,0.01,0.0,0.6,506,0,0,ca8ab_00008
0.5776623487472534,0.7654321193695068,0.5829868316650391,0.7647058963775635,547,1730059727,,False,1,ca8ab_00009,2024-10-27_21-08-47,876.9136731624603,876.9136731624603,156189,agq005,10.108.101.5,876.9136731624603,1,0.01,0.0,0.8,506,0,0,ca8ab_00009
0.3273443579673767,0.9012345671653748,0.3301135301589966,0.8921568393707275,2327,1730062515,,False,1,ca8ab_00010,2024-10-27_21-55-15,2964.294627428055,2964.294627428055,164447,agq005,10.108.101.5,2964.294627428055,1,0.001,0.0,0.0,506,0,0,ca8ab_00010
0.40663251280784607,0.9012345671653748,0.4275755286216736,0.8627451062202454,2174,1730062588,,False,1,ca8ab_00011,2024-10-27_21-56-28,2830.649784564972,2830.649784564972,167261,agq005,10.108.101.5,2830.649784564972,1,0.001,0.0,0.2,506,0,0,ca8ab_00011
0.4530976414680481,0.8765432238578796,0.4697960615158081,0.8627451062202454,2587,1730063108,,False,1,ca8ab_00012,2024-10-27_22-05-08,3282.699373960495,3282.699373960495,168246,agq005,10.108.101.5,3282.699373960495,1,0.001,0.0,0.4,506,0,0,ca8ab_00012
0.6698958277702332,0.604938268661499,0.6689775586128235,0.6078431606292725,38,1730062201,,False,1,ca8ab_00013,2024-10-27_21-50-01,272.95514035224915,272.95514035224915,192610,agq005,10.108.101.5,272.95514035224915,1,0.001,0.0,0.6,506,0,0,ca8ab_00013
0.6702635288238525,0.604938268661499,0.6694868206977844,0.6078431606292725,40,1730062506,,False,1,ca8ab_00014,2024-10-27_21-55-06,275.74590826034546,275.74590826034546,196739,agq005,10.108.101.5,275.74590826034546,1,0.001,0.0,0.8,506,0,0,ca8ab_00014
0.38279733061790466,0.9012345671653748,0.3875279426574707,0.8921568393707275,9999,1730074755,,False,1,ca8ab_00015,2024-10-28_01-19-15,12218.071336507797,12218.071336507797,200689,agq005,10.108.101.5,12218.071336507797,1,0.0001,0.0,0.0,506,0,0,ca8ab_00015
0.4929615557193756,0.8641975522041321,0.5008256435394287,0.8529411554336548,9998,1730074748,,False,1,ca8ab_00016,2024-10-28_01-19-08,12211.197547197342,12211.197547197342,200797,agq005,10.108.101.5,12211.197547197342,1,0.0001,0.0,0.2,506,0,0,ca8ab_00016
0.6699303388595581,0.604938268661499,0.668979823589325,0.6078431606292725,628,1730063593,,False,1,ca8ab_00017,2024-10-27_22-13-13,966.0578851699829,966.0578851699829,201954,agq005,10.108.101.5,966.0578851699829,1,0.0001,0.0,0.4,506,0,0,ca8ab_00017
