inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,logdir
0.2980041205883026,0.892307698726654,0.29234760999679565,0.9012345671653748,69,1762528457,,False,1,31813_00000,2025-11-07_16-14-17,93.36530089378357,93.36530089378357,1997455,ggpu128,10.241.148.28,93.36530089378357,1,506,0,0,0.01,0.001,0.0,31813_00000
0.24152031540870667,0.9230769276618958,0.34113791584968567,0.8888888955116272,130,1762528485,,False,1,31813_00001,2025-11-07_16-14-45,121.42304277420044,121.42304277420044,1997456,ggpu128,10.241.148.28,121.42304277420044,1,506,0,1,0.01,0.001,0.0,31813_00001
0.2774515151977539,0.9076923131942749,0.2639481723308563,0.9135802388191223,65,1762528456,,False,1,31813_00002,2025-11-07_16-14-16,92.28167152404785,92.28167152404785,1997457,ggpu128,10.241.148.28,92.28167152404785,1,506,0,2,0.01,0.001,0.0,31813_00002
0.3460237681865692,0.8615384697914124,0.24548543989658356,0.9382715821266174,111,1762528477,,False,1,31813_00003,2025-11-07_16-14-37,113.04529452323914,113.04529452323914,1997458,ggpu128,10.241.148.28,113.04529452323914,1,506,0,3,0.01,0.001,0.0,31813_00003
0.2884428799152374,0.892307698726654,0.36224985122680664,0.875,67,1762528554,,False,1,31813_00004,2025-11-07_16-15-54,88.92525362968445,88.92525362968445,1999524,ggpu128,10.241.148.28,88.92525362968445,1,506,0,4,0.01,0.001,0.0,31813_00004
0.15688841044902802,0.9538461565971375,0.46921879053115845,0.8641975522041321,232,1762528629,,False,1,31813_00005,2025-11-07_16-17-09,163.41523957252502,163.41523957252502,1999591,ggpu128,10.241.148.28,163.41523957252502,1,506,1,0,0.01,0.001,0.0,31813_00005
0.29524126648902893,0.892307698726654,0.33434295654296875,0.8765432238578796,30,1762528560,,False,1,31813_00006,2025-11-07_16-16-00,76.00707364082336,76.00707364082336,2000525,ggpu128,10.241.148.28,76.00707364082336,1,506,1,1,0.01,0.001,0.0,31813_00006
0.2751326262950897,0.9076923131942749,0.2997303903102875,0.9012345671653748,28,1762528564,,False,1,31813_00007,2025-11-07_16-16-04,70.84608626365662,70.84608626365662,2000982,ggpu128,10.241.148.28,70.84608626365662,1,506,1,2,0.01,0.001,0.0,31813_00007
0.2893708646297455,0.9076923131942749,0.2333180159330368,0.9382715821266174,20,1762528631,,False,1,31813_00008,2025-11-07_16-17-11,67.42753720283508,67.42753720283508,2001938,ggpu128,10.241.148.28,67.42753720283508,1,506,1,3,0.01,0.001,0.0,31813_00008
0.35460010170936584,0.8461538553237915,0.3516983687877655,0.875,81,1762528663,,False,1,31813_00009,2025-11-07_16-17-43,95.78372430801392,95.78372430801392,2002316,ggpu128,10.241.148.28,95.78372430801392,1,506,1,4,0.01,0.001,0.0,31813_00009
