config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.2,0.0,0.001,689,0.26602004170417787,0.9056493639945984,0.91182595,0.8985125,0.9124519,0.90504867,0.8108238,0.964883,0.9594263,25.0,2.4,2.8,25.0,0.2772713482379913,0.8898550868034363,0.84419316,0.96000004,0.8176471,0.89830065,0.7871785,0.94840336,0.94525254,27.8,6.2,1.4,33.6
1,0.01,0.2,0.2,0.001,689,0.2708734303712845,0.8913636326789856,0.8852884,0.9165312,0.869697,0.8988956,0.7820529,0.9485674,0.94167364,22.2,3.4,2.6,27.0,0.27334244549274445,0.8927536368370056,0.9075304,0.90256417,0.88,0.9042784,0.7839159,0.95982903,0.96350276,26.4,3.6,3.8,35.2
2,0.01,0.4,0.4,0.0001,689,0.26556735932826997,0.8551948070526123,0.84583837,0.8723308,0.83723927,0.85850316,0.71008545,0.9558462,0.9604004,23.0,4.4,3.6,24.2,0.2786483526229858,0.9130434989929199,0.8868109,0.95555556,0.8666667,0.91969764,0.8284607,0.95589226,0.9489967,28.6,4.4,1.6,34.4
3,0.01,0.4,0.0,0.001,689,0.2661048501729965,0.8622727274894715,0.85376024,0.89946854,0.81992304,0.87529916,0.7240133,0.9552563,0.9556111,20.8,4.6,3.0,26.8,0.28086972832679746,0.8376811385154724,0.89861745,0.81951225,0.86428565,0.85695565,0.67451,0.93815327,0.9543719,24.2,3.8,7.4,33.6
4,0.01,0.2,0.0,0.001,689,0.26582819819450376,0.8694805145263672,0.84892285,0.9083864,0.82964265,0.8769457,0.7414338,0.95382416,0.9587513,22.2,4.6,2.6,25.8,0.2279988318681717,0.8579709887504577,0.84436226,0.83870965,0.8736842,0.84064835,0.7137152,0.94550085,0.93005675,33.2,4.8,5.0,26.0
