outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention
0.26972585916519165,0.8928571343421936,0.2801893949508667,0.8913043737411499,128,1777334093,,False,1,1bf90_00000,2026-04-28_01-54-53,154.29875683784485,154.29875683784485,975245,ggpu127,10.241.148.27,154.29875683784485,1,0,1bf90_00000,0,0.01,0.001,689,0.2,0.0
0.26991382241249084,0.8999999761581421,0.2979743778705597,0.8695651888847351,241,1777334165,,False,1,1bf90_00001,2026-04-28_01-56-05,225.93802118301392,225.93802118301392,975246,ggpu127,10.241.148.27,225.93802118301392,1,1,1bf90_00001,0,0.01,0.001,689,0.2,0.0
0.2665359675884247,0.8909090757369995,0.24832871556282043,0.8840579986572266,214,1777334318,,False,1,1bf90_00002,2026-04-28_01-58-38,214.46582198143005,214.46582198143005,976973,ggpu127,10.241.148.27,214.46582198143005,1,2,1bf90_00002,0,0.01,0.001,689,0.2,0.0
0.27217474579811096,0.8545454740524292,0.27980947494506836,0.8840579986572266,219,1777334392,,False,1,1bf90_00003,2026-04-28_01-59-52,215.1188063621521,215.1188063621521,978063,ggpu127,10.241.148.27,215.1188063621521,1,3,1bf90_00003,0,0.01,0.001,689,0.2,0.0
0.25174981355667114,0.918181836605072,0.2800547778606415,0.8695651888847351,195,1777334532,,False,1,1bf90_00004,2026-04-28_02-02-12,203.56552696228027,203.56552696228027,979164,ggpu127,10.241.148.27,203.56552696228027,1,4,1bf90_00004,0,0.01,0.001,689,0.2,0.0
0.223768949508667,0.9107142686843872,0.2459707409143448,0.8840579986572266,272,1777334648,,False,1,1bf90_00005,2026-04-28_02-04-08,247.99008512496948,247.99008512496948,980176,ggpu127,10.241.148.27,247.99008512496948,1,0,1bf90_00005,1,0.01,0.001,689,0.2,0.2
0.2869216501712799,0.8636363744735718,0.25884324312210083,0.8985507488250732,157,1777334721,,False,1,1bf90_00006,2026-04-28_02-05-21,178.06873655319214,178.06873655319214,981452,ggpu127,10.241.148.27,178.06873655319214,1,1,1bf90_00006,1,0.01,0.001,689,0.2,0.2
0.40538716316223145,0.8363636136054993,0.31820571422576904,0.8768116235733032,65,1777334780,,False,1,1bf90_00007,2026-04-28_02-06-20,120.0296778678894,120.0296778678894,982549,ggpu127,10.241.148.27,120.0296778678894,1,2,1bf90_00007,1,0.01,0.001,689,0.2,0.2
0.20523396134376526,0.918181836605072,0.2874342203140259,0.8695651888847351,331,1777335014,,False,1,1bf90_00008,2026-04-28_02-10-14,285.2961015701294,285.2961015701294,983556,ggpu127,10.241.148.27,285.2961015701294,1,3,1bf90_00008,1,0.01,0.001,689,0.2,0.2
0.23305542767047882,0.8818181753158569,0.2562583088874817,0.8985507488250732,370,1777335102,,False,1,1bf90_00009,2026-04-28_02-11-42,310.58145570755005,310.58145570755005,984569,ggpu127,10.241.148.27,310.58145570755005,1,4,1bf90_00009,1,0.01,0.001,689,0.2,0.2
0.36063411831855774,0.8303571343421936,0.29334506392478943,0.9130434989929199,126,1777335179,,False,1,1bf90_00010,2026-04-28_02-12-59,155.51775789260864,155.51775789260864,985834,ggpu127,10.241.148.27,155.51775789260864,1,0,1bf90_00010,2,0.01,0.0001,689,0.4,0.4
0.2436874359846115,0.8727272748947144,0.27334290742874146,0.9057971239089966,197,1777335312,,False,1,1bf90_00011,2026-04-28_02-15-12,201.88934016227722,201.88934016227722,986846,ggpu127,10.241.148.27,201.88934016227722,1,1,1bf90_00011,2,0.01,0.0001,689,0.4,0.4
0.21768918633460999,0.8909090757369995,0.26550623774528503,0.9130434989929199,440,1777335543,,False,1,1bf90_00012,2026-04-28_02-19-03,352.82883763313293,352.82883763313293,987933,ggpu127,10.241.148.27,352.82883763313293,1,2,1bf90_00012,2,0.01,0.0001,689,0.4,0.4
0.3480684161186218,0.8272727131843567,0.30733346939086914,0.8840579986572266,83,1777335454,,False,1,1bf90_00013,2026-04-28_02-17-34,131.05461311340332,131.05461311340332,989038,ggpu127,10.241.148.27,131.05461311340332,1,3,1bf90_00013,2,0.01,0.0001,689,0.4,0.4
0.15775763988494873,0.9272727370262146,0.25371408462524414,0.9057971239089966,567,1777335898,,False,1,1bf90_00014,2026-04-28_02-24-59,436.2960481643677,436.2960481643677,990136,ggpu127,10.241.148.27,436.2960481643677,1,4,1bf90_00014,2,0.01,0.0001,689,0.4,0.4
0.2599264681339264,0.875,0.27567431330680847,0.8623188138008118,192,1777335750,,False,1,1bf90_00015,2026-04-28_02-22-30,197.06621718406677,197.06621718406677,991226,ggpu127,10.241.148.27,197.06621718406677,1,0,1bf90_00015,3,0.01,0.001,689,0.4,0.0
0.23550757765769958,0.8818181753158569,0.30139026045799255,0.8550724387168884,387,1777336080,,False,1,1bf90_00016,2026-04-28_02-28-00,320.01259088516235,320.01259088516235,992506,ggpu127,10.241.148.27,320.01259088516235,1,1,1bf90_00016,3,0.01,0.001,689,0.4,0.0
0.29804927110671997,0.8090909123420715,0.272022545337677,0.8840579986572266,210,1777336115,,False,1,1bf90_00017,2026-04-28_02-28-35,208.113361120224,208.113361120224,993677,ggpu127,10.241.148.27,208.113361120224,1,2,1bf90_00017,3,0.01,0.001,689,0.4,0.0
0.30064576864242554,0.8636363744735718,0.2796095907688141,0.8840579986572266,111,1777336237,,False,1,1bf90_00018,2026-04-28_02-30-37,148.11682844161987,148.11682844161987,994858,ggpu127,10.241.148.27,148.11682844161987,1,3,1bf90_00018,3,0.01,0.001,689,0.4,0.0
0.23639516532421112,0.8818181753158569,0.2756519317626953,0.8695651888847351,154,1777336301,,False,1,1bf90_00019,2026-04-28_02-31-41,177.39335680007935,177.39335680007935,995789,ggpu127,10.241.148.27,177.39335680007935,1,4,1bf90_00019,3,0.01,0.001,689,0.4,0.0
0.2776191532611847,0.8660714030265808,0.21757517755031586,0.9202898740768433,236,1777336480,,False,1,1bf90_00020,2026-04-28_02-34-40,231.10923194885254,231.10923194885254,996888,ggpu127,10.241.148.27,231.10923194885254,1,0,1bf90_00020,4,0.01,0.001,689,0.2,0.0
0.2746332585811615,0.8636363744735718,0.2340158075094223,0.8985507488250732,292,1777336574,,False,1,1bf90_00021,2026-04-28_02-36-14,263.03459572792053,263.03459572792053,997901,ggpu127,10.241.148.27,263.03459572792053,1,1,1bf90_00021,4,0.01,0.001,689,0.2,0.0
0.3104137182235718,0.8181818127632141,0.24214783310890198,0.8985507488250732,155,1777336666,,False,1,1bf90_00022,2026-04-28_02-37-46,176.54301977157593,176.54301977157593,999075,ggpu127,10.241.148.27,176.54301977157593,1,2,1bf90_00022,4,0.01,0.001,689,0.2,0.0
0.26881444454193115,0.8999999761581421,0.19920513033866882,0.9057971239089966,196,1777336789,,False,1,1bf90_00023,2026-04-28_02-39-49,204.8500039577484,204.8500039577484,1000163,ggpu127,10.241.148.27,204.8500039577484,1,3,1bf90_00023,4,0.01,0.001,689,0.2,0.0
0.1976604163646698,0.8818181753158569,0.2470502108335495,0.8840579986572266,291,1777336936,,False,1,1bf90_00024,2026-04-28_02-42-16,260.27729296684265,260.27729296684265,1001176,ggpu127,10.241.148.27,260.27729296684265,1,4,1bf90_00024,4,0.01,0.001,689,0.2,0.0
