config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.0,0.001,506,0.28464260697364807,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.8936304,0.8987462,24.2,7.8,0.0,48.8,0.3544536650180817,0.8803921580314636,0.83739346,0.9967742,0.7,0.91015244,0.76069605,0.8512902,0.8218843,28.0,12.0,0.2,61.8
1,0.01,0.0,0.0,0.01,506,0.29509979486465454,0.8935802340507507,0.85391724,0.9959184,0.7375,0.9191948,0.7864656,0.89198816,0.9035942,23.6,8.4,0.2,48.6,0.3051631093025208,0.9078431248664856,0.87461597,0.9903226,0.7799999,0.92881584,0.812456,0.8716129,0.8496951,31.2,8.8,0.6,61.4
2,0.01,0.2,0.4,0.1,506,0.292054595053196,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.893754,0.91077435,23.4,8.6,0.0,48.8,0.2698971688747406,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8832661,0.87508714,32.0,8.0,0.0,62.0
3,0.01,0.4,0.4,0.1,506,0.2734289109706879,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.9033017,0.8967554,24.4,7.6,0.0,48.8,0.3684498071670532,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8079839,0.8283884,27.0,13.0,0.0,62.0
4,0.01,0.4,0.2,0.01,506,0.29958558082580566,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.86899054,0.8631956,23.6,8.4,0.0,48.8,0.27643424868583677,0.9039215445518494,0.8717259,0.9870968,0.775,0.9257096,0.8042534,0.90923387,0.9088888,31.0,9.0,0.8,61.2
5,0.01,0.0,0.0,0.1,506,0.2928344428539276,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.8800317,0.8821457,23.8,8.2,0.0,48.8,0.29076117277145386,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8786694,0.88534534,30.0,10.0,0.0,62.0
6,0.01,0.0,0.4,0.001,506,0.3039093852043152,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.86999893,0.871445,23.8,8.2,0.0,48.8,0.28632373809814454,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8884678,0.8934308,30.0,10.0,0.0,62.0
7,0.01,0.4,0.0,0.001,506,0.28392358124256134,0.9033950567245483,0.8653019,0.9959184,0.7625,0.9258539,0.8060697,0.8956274,0.8948245,24.4,7.6,0.2,48.6,0.38143723607063296,0.8666666507720947,0.8252484,0.9903226,0.675,0.9002552,0.7314955,0.8214113,0.837422,27.0,13.0,0.6,61.4
8,0.01,0.2,0.0,0.01,506,0.2900155186653137,0.8935802459716797,0.85568064,0.9918367,0.74375,0.91861755,0.7853039,0.89910716,0.902211,23.8,8.2,0.4,48.4,0.33025733232498167,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8322177,0.8147274,30.0,10.0,0.0,62.0
9,0.01,0.4,0.2,0.001,506,0.3160668760538101,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8723214,0.8738162,23.2,8.8,0.0,48.8,0.23163308799266816,0.9294117450714111,0.89825237,0.9967742,0.825,0.9449442,0.856341,0.9285081,0.90624654,33.0,7.0,0.2,61.8
