outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention
0.3985450565814972,0.8518518805503845,0.35793083906173706,0.8725489974021912,100,1762670191,,False,1,12fa7_00000,2025-11-09_07-36-31,144.6137821674347,144.6137821674347,87458,ggpu127,10.241.148.27,144.6137821674347,1,0,12fa7_00000,0,0.01,0.001,506,0.4,0.0
0.283982515335083,0.9012345671653748,0.3364253342151642,0.8823529481887817,43,1762670151,,False,1,12fa7_00001,2025-11-09_07-35-51,105.36024975776672,105.36024975776672,87524,ggpu127,10.241.148.27,105.36024975776672,1,1,12fa7_00001,0,0.01,0.001,506,0.4,0.0
0.23571144044399261,0.9259259104728699,0.3518408238887787,0.8823529481887817,62,1762670164,,False,1,12fa7_00002,2025-11-09_07-36-04,117.9132707118988,117.9132707118988,87523,ggpu127,10.241.148.27,117.9132707118988,1,2,12fa7_00002,0,0.01,0.001,506,0.4,0.0
0.35143449902534485,0.8765432238578796,0.3440280258655548,0.8823529481887817,160,1762670227,,False,1,12fa7_00003,2025-11-09_07-37-07,181.03298044204712,181.03298044204712,87525,ggpu127,10.241.148.27,181.03298044204712,1,3,12fa7_00003,0,0.01,0.001,506,0.4,0.0
0.1535395234823227,0.9624999761581421,0.3820433020591736,0.8823529481887817,51,1762670270,,False,1,12fa7_00004,2025-11-09_07-37-50,110.26558947563171,110.26558947563171,89431,ggpu127,10.241.148.27,110.26558947563171,1,4,12fa7_00004,0,0.01,0.001,506,0.4,0.0
0.2828825116157532,0.9012345671653748,0.2853849232196808,0.9117646813392639,80,1762670298,,False,1,12fa7_00005,2025-11-09_07-38-18,127.09895038604736,127.09895038604736,89953,ggpu127,10.241.148.27,127.09895038604736,1,0,12fa7_00005,1,0.01,0.01,506,0.0,0.0
0.2530457675457001,0.9259259104728699,0.3062569797039032,0.9117646813392639,67,1762670321,,False,1,12fa7_00006,2025-11-09_07-38-41,122.02206921577454,122.02206921577454,90735,ggpu127,10.241.148.27,122.02206921577454,1,1,12fa7_00006,1,0.01,0.01,506,0.0,0.0
0.3978947699069977,0.8271604776382446,0.3313243091106415,0.8823529481887817,82,1762670367,,False,1,12fa7_00007,2025-11-09_07-39-27,131.86602568626404,131.86602568626404,91420,ggpu127,10.241.148.27,131.86602568626404,1,2,12fa7_00007,1,0.01,0.01,506,0.0,0.0
0.25670722126960754,0.9135802388191223,0.3082788586616516,0.9215686321258545,26,1762670372,,False,1,12fa7_00008,2025-11-09_07-39-32,95.19396424293518,95.19396424293518,92044,ggpu127,10.241.148.27,95.19396424293518,1,3,12fa7_00008,1,0.01,0.01,506,0.0,0.0
0.28496870398521423,0.8999999761581421,0.2945704758167267,0.9117646813392639,99,1762670446,,False,1,12fa7_00009,2025-11-09_07-40-46,140.04735708236694,140.04735708236694,92723,ggpu127,10.241.148.27,140.04735708236694,1,4,12fa7_00009,1,0.01,0.01,506,0.0,0.0
0.12213221937417984,0.9629629850387573,0.2826124131679535,0.9215686321258545,42,1762670435,,False,1,12fa7_00010,2025-11-09_07-40-35,106.75221252441406,106.75221252441406,93341,ggpu127,10.241.148.27,106.75221252441406,1,0,12fa7_00010,2,0.01,0.1,506,0.2,0.4
