outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate
0.24823477864265442,0.9189189076423645,0.3194672465324402,0.8695651888847351,170,1767666948,,False,1,790b5_00000,2026-01-06_03-35-48,824.0465638637543,824.0465638637543,487494,ggpu123,10.241.148.23,824.0465638637543,1,0,790b5_00000,0,0.001,0.001,689,0.4
0.21665692329406738,0.9090909361839294,0.29990309476852417,0.8695651888847351,293,1767667319,,False,1,790b5_00001,2026-01-06_03-42-00,1195.3477420806885,1195.3477420806885,487495,ggpu123,10.241.148.23,1195.3477420806885,1,1,790b5_00001,0,0.001,0.001,689,0.4
0.37414097785949707,0.8727272748947144,0.32254117727279663,0.8623188138008118,174,1767666964,,False,1,790b5_00002,2026-01-06_03-36-04,839.447737455368,839.447737455368,487528,ggpu123,10.241.148.23,839.447737455368,1,2,790b5_00002,0,0.001,0.001,689,0.4
0.2425432652235031,0.8727272748947144,0.34738296270370483,0.8695651888847351,492,1767667909,,False,1,790b5_00003,2026-01-06_03-51-49,1784.998064994812,1784.998064994812,487529,ggpu123,10.241.148.23,1784.998064994812,1,3,790b5_00003,0,0.001,0.001,689,0.4
0.29922330379486084,0.8545454740524292,0.31486204266548157,0.8695651888847351,134,1767667680,,False,1,790b5_00004,2026-01-06_03-48-00,720.2558937072754,720.2558937072754,490295,ggpu123,10.241.148.23,720.2558937072754,1,4,790b5_00004,0,0.001,0.001,689,0.4
0.2442251741886139,0.9099099040031433,0.4025193154811859,0.8623188138008118,373,1767668397,,False,1,790b5_00005,2026-01-06_03-59-57,1424.371183872223,1424.371183872223,490817,ggpu123,10.241.148.23,1424.371183872223,1,0,790b5_00005,1,0.01,0.0001,689,0.4
0.2512310743331909,0.8999999761581421,0.298031747341156,0.8623188138008118,258,1767668428,,False,1,790b5_00006,2026-01-06_04-00-28,1096.2500748634338,1096.2500748634338,492133,ggpu123,10.241.148.23,1096.2500748634338,1,1,790b5_00006,1,0.01,0.0001,689,0.4
0.41576695442199707,0.800000011920929,0.3469674587249756,0.8913043737411499,51,1767668160,,False,1,790b5_00007,2026-01-06_03-56-00,467.950564622879,467.950564622879,493193,ggpu123,10.241.148.23,467.950564622879,1,2,790b5_00007,1,0.01,0.0001,689,0.4
0.2059595286846161,0.9090909361839294,0.33527451753616333,0.8913043737411499,122,1767668604,,False,1,790b5_00008,2026-01-06_04-03-24,685.770747423172,685.770747423172,494045,ggpu123,10.241.148.23,685.770747423172,1,3,790b5_00008,1,0.01,0.0001,689,0.4
0.26868999004364014,0.8909090757369995,0.2938985526561737,0.8695651888847351,152,1767668939,,False,1,790b5_00009,2026-01-06_04-08-59,768.921900510788,768.921900510788,495017,ggpu123,10.241.148.23,768.921900510788,1,4,790b5_00009,1,0.01,0.0001,689,0.4
0.3114960491657257,0.8198198080062866,0.25174480676651,0.8913043737411499,103,1767669041,,False,1,790b5_00010,2026-01-06_04-10-41,630.2982552051544,630.2982552051544,495968,ggpu123,10.241.148.23,630.2982552051544,1,0,790b5_00010,2,0.001,0.0,689,0.0
0.24585376679897308,0.8818181753158569,0.26095473766326904,0.8768116235733032,90,1767669029,,False,1,790b5_00011,2026-01-06_04-10-29,589.2245218753815,589.2245218753815,496647,ggpu123,10.241.148.23,589.2245218753815,1,1,790b5_00011,2,0.001,0.0,689,0.0
0.23809942603111267,0.8999999761581421,0.27142998576164246,0.8695651888847351,71,1767669149,,False,1,790b5_00012,2026-01-06_04-12-29,533.012681722641,533.012681722641,497498,ggpu123,10.241.148.23,533.012681722641,1,2,790b5_00012,2,0.001,0.0,689,0.0
0.30840563774108887,0.8636363744735718,0.21725253760814667,0.8985507488250732,71,1767669485,,False,1,790b5_00013,2026-01-06_04-18-05,533.0989012718201,533.0989012718201,498542,ggpu123,10.241.148.23,533.0989012718201,1,3,790b5_00013,2,0.001,0.0,689,0.0
0.2022845596075058,0.9090909361839294,0.27477946877479553,0.8768116235733032,113,1767669700,,False,1,790b5_00014,2026-01-06_04-21-40,658.2193520069122,658.2193520069122,499250,ggpu123,10.241.148.23,658.2193520069122,1,4,790b5_00014,2,0.001,0.0,689,0.0
0.2242787629365921,0.8828828930854797,0.3404344618320465,0.8188405632972717,250,1767670110,,False,1,790b5_00015,2026-01-06_04-28-30,1061.5238234996796,1061.5238234996796,499619,ggpu123,10.241.148.23,1061.5238234996796,1,0,790b5_00015,3,0.0001,0.0001,689,0.0
0.19931460916996002,0.9090909361839294,0.3100126087665558,0.8695651888847351,269,1767670292,,False,1,790b5_00016,2026-01-06_04-31-32,1132.5879609584808,1132.5879609584808,500633,ggpu123,10.241.148.23,1132.5879609584808,1,1,790b5_00016,3,0.0001,0.0001,689,0.0
0.23366427421569824,0.9090909361839294,0.3131484389305115,0.8623188138008118,245,1767670543,,False,1,790b5_00017,2026-01-06_04-35-43,1049.6220257282257,1049.6220257282257,501684,ggpu123,10.241.148.23,1049.6220257282257,1,2,790b5_00017,3,0.0001,0.0001,689,0.0
0.3198058307170868,0.8909090757369995,0.33295392990112305,0.8405796885490417,188,1767670588,,False,1,790b5_00018,2026-01-06_04-36-28,879.9457862377167,879.9457862377167,502618,ggpu123,10.241.148.23,879.9457862377167,1,3,790b5_00018,3,0.0001,0.0001,689,0.0
0.19471973180770874,0.9272727370262146,0.34041735529899597,0.8478260636329651,271,1767671256,,False,1,790b5_00019,2026-01-06_04-47-36,1136.3234033584595,1136.3234033584595,503749,ggpu123,10.241.148.23,1136.3234033584595,1,4,790b5_00019,3,0.0001,0.0001,689,0.0
