,outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,outer_es_precision,outer_es_recall,outer_es_specificity,outer_es_f1_score,outer_es_mcc,outer_es_auroc,outer_es_auprc,outer_es_true_positives,outer_es_false_negatives,outer_es_false_positives,outer_es_true_negatives,test_precision,test_recall,test_specificity,test_f1_score,test_mcc,test_auroc,test_auprc,test_true_positives,test_false_negatives,test_false_positives,test_true_negatives
0,0.6425626873970032,0.7090908885002136,0.6494572758674622,0.5942028760910034,561,1768938346,,False,1,8498f_00001,2026-01-20_20-45-46,464.91968727111816,464.91968727111816,1234603,ggpu128,10.241.148.28,464.91968727111816,1,1,8498f_00001,0,0.001,0.0,689,0.0,0.0,0.6551724,0.76,0.6666667,0.7037037,0.4255334,0.70666665,0.62525403,20.0,10.0,6.0,19.0,0.58536583,0.6857143,0.5,0.6315789,0.18908097,0.70756304,0.7338115,17.0,17.0,11.0,24.0
1,0.6871286630630493,0.6000000238418579,0.6725136637687683,0.6521739363670349,108,1769123478,,False,1,8498f_00003,2026-01-23_00-11-18,151.37101292610168,151.37101292610168,2151064,ggpu115,10.241.148.15,151.37101292610168,1,3,8498f_00003,0,0.001,0.0,689,0.0,0.0,0.57894737,0.78571427,0.4074074,0.6666667,0.20891792,0.4960317,0.5026895,11.0,16.0,6.0,22.0,0.62222224,0.8,0.5,0.7,0.3149074,0.6865546,0.6927251,17.0,17.0,7.0,28.0
2,0.6924383044242859,0.5090909004211426,0.6865541338920593,0.52173912525177,77,1769123458,,False,1,8498f_00004,2026-01-23_00-10-58,131.58005237579346,131.58005237579346,2151065,ggpu115,10.241.148.15,131.58005237579346,1,4,8498f_00004,0,0.001,0.0,689,0.0,0.0,0.49056605,1.0,0.06896552,0.65822786,0.18393515,0.60742706,0.541473,2.0,27.0,0.0,26.0,0.5147059,1.0,0.029411765,0.6796116,0.12303823,0.684874,0.69088024,1.0,33.0,0.0,35.0
3,0.6171362996101379,0.7857142686843872,0.605990469455719,0.6376811861991882,1932,1769124741,,False,1,8498f_00000,2026-01-23_00-32-21,1273.2541801929474,1273.2541801929474,2152865,ggpu115,10.241.148.15,1273.2541801929474,1,0,8498f_00000,0,0.001,0.0,689,0.0,0.0,0.7714286,0.87096775,0.68,0.8181818,0.56576145,0.8206452,0.84267163,17.0,8.0,4.0,27.0,0.625,0.71428573,0.5588235,0.6666667,0.27661827,0.7201681,0.6958744,19.0,15.0,10.0,25.0
4,0.5559319853782654,0.7818182110786438,0.5705028176307678,0.6521739363670349,5064,1769126640,,False,1,8498f_00002,2026-01-23_01-04-00,3153.890447854996,3153.890447854996,2153821,ggpu115,10.241.148.15,3153.890447854996,1,2,8498f_00002,0,0.001,0.0,689,0.0,0.0,0.75757575,0.86206895,0.6923077,0.8064516,0.56496596,0.8395226,0.8582286,18.0,8.0,4.0,25.0,0.64102566,0.71428573,0.5882353,0.6756757,0.3050957,0.73697484,0.6878492,20.0,14.0,10.0,25.0
5,0.6005147695541382,0.7321428656578064,0.5023072361946106,0.7681159377098083,1521,1769168343,,False,1,b7dbd_00000,2026-01-23_12-39-03,1023.775145292282,1023.775145292282,2262794,ggpu115,10.241.148.15,1023.775145292282,1,0,b7dbd_00000,1,0.01,0.0,689,0.0,0.0,0.76666665,0.7419355,0.72,0.75409836,0.46045256,0.7754839,0.7208827,18.0,7.0,8.0,23.0,0.7948718,0.7948718,0.73333335,0.7948718,0.52820516,0.82649577,0.861979,22.0,8.0,8.0,31.0
6,0.6871271133422852,0.7272727489471436,0.6768763661384583,0.6521739363670349,51,1769167427,,False,1,b7dbd_00001,2026-01-23_12-23-47,108.51470136642456,108.51470136642456,2262793,ggpu115,10.241.148.15,108.51470136642456,1,1,b7dbd_00001,1,0.01,0.0,689,0.0,0.0,0.7777778,0.8,0.6,0.7887324,0.40465134,0.68,0.7389713,12.0,8.0,7.0,28.0,0.6530612,0.82051283,0.43333334,0.72727275,0.27736425,0.62905985,0.64950866,13.0,17.0,7.0,32.0
7,0.5335214734077454,0.6545454263687134,0.4582434296607971,0.7681159377098083,2854,1769169275,,False,1,b7dbd_00002,2026-01-23_12-54-35,1840.027098655701,1840.027098655701,2264488,ggpu115,10.241.148.15,1840.027098655701,1,2,b7dbd_00002,1,0.01,0.0,689,0.0,0.0,0.6666667,0.73333335,0.56,0.6984127,0.2981424,0.7426666,0.7927346,14.0,11.0,8.0,22.0,0.7948718,0.7948718,0.73333335,0.7948718,0.52820516,0.8504274,0.8708887,22.0,8.0,8.0,31.0
8,0.6555556058883667,0.5636363625526428,0.6503167152404785,0.5942028760910034,261,1769168590,,False,1,b7dbd_00003,2026-01-23_12-43-10,238.7588882446289,238.7588882446289,2266723,ggpu115,10.241.148.15,238.7588882446289,1,3,b7dbd_00003,1,0.01,0.0,689,0.0,0.0,0.5882353,0.6666667,0.44,0.625,0.10932268,0.5733333,0.6299295,11.0,14.0,10.0,20.0,0.627907,0.6923077,0.46666667,0.6585366,0.16262943,0.65811974,0.6978612,14.0,16.0,12.0,27.0
9,0.5591910481452942,0.7636363506317139,0.5601913928985596,0.6811594367027283,1724,1769169758,,False,1,b7dbd_00004,2026-01-23_13-02-38,1158.6075520515442,1158.6075520515442,2267967,ggpu115,10.241.148.15,1158.6075520515442,1,4,b7dbd_00004,1,0.01,0.0,689,0.0,0.0,0.6451613,0.90909094,0.6666667,0.754717,0.56875014,0.85537195,0.7447421,22.0,11.0,2.0,20.0,0.6976744,0.7692308,0.56666666,0.73170733,0.34362024,0.8051283,0.8591837,17.0,13.0,9.0,30.0
10,0.636471152305603,0.5714285969734192,0.6226577758789062,0.6376811861991882,404,1768903288,,False,1,33b57_00000,2026-01-20_11-01-28,331.8405930995941,331.8405930995941,2909073,ggpu118,10.241.148.18,331.8405930995941,1,0,33b57_00000,2,0.01,0.0,689,0.0,0.2,0.5405405,0.7407407,0.41379312,0.625,0.16308981,0.6500639,0.61709625,12.0,17.0,7.0,20.0,0.6037736,0.8888889,0.36363637,0.71910113,0.29889256,0.69949496,0.6837349,12.0,21.0,4.0,32.0
