config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.1,0.4,0.2,0.001,506,0.3059022337198257,0.9011419773101806,0.8645199,0.9959184,0.75625,0.9249277,0.8018193,0.89149654,0.9008802,24.2,7.8,0.2,48.6,0.3749387800693512,0.8803921580314636,0.83739346,0.9967742,0.7,0.91015244,0.76069605,0.82669353,0.8276619,28.0,12.0,0.2,61.8
1,0.01,0.0,0.4,0.0001,506,0.31292924284935,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.87184316,0.8730993,23.6,8.4,0.0,48.8,0.29024569392204286,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.86701614,0.8752697,31.0,9.0,0.0,62.0
2,0.1,0.0,0.0,0.001,506,0.31687282025814056,0.8910185337066651,0.8517744,0.9958333,0.73125,0.91758263,0.7825326,0.8761174,0.87678003,23.4,8.6,0.2,48.6,0.28056067824363706,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.88673383,0.87928563,32.0,8.0,0.0,62.0
3,0.1,0.2,0.0,0.001,506,0.30123603343963623,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.8826092,0.8890139,24.4,7.6,0.0,48.8,0.3604039788246155,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.86258066,0.8752658,27.0,13.0,0.0,62.0
4,0.001,0.4,0.0,0.0001,506,0.3818421721458435,0.8418209910392761,0.8139242,0.9918367,0.6125,0.88972074,0.6493344,0.7956805,0.8085722,19.6,12.4,0.4,48.4,0.36605129241943357,0.8470588088035583,0.8216317,0.9903226,0.625,0.89356375,0.6569301,0.78221774,0.8176931,25.0,15.0,0.6,61.4
5,0.1,0.0,0.2,0.0,506,0.36375015377998354,0.8689197540283203,0.8279904,1.0,0.66875,0.9042975,0.74041855,0.843932,0.842656,21.4,10.6,0.0,48.8,0.34740304946899414,0.8647058844566345,0.8251526,1.0,0.65500003,0.90239,0.72948086,0.89407265,0.90786743,26.2,13.8,0.0,62.0
6,0.001,0.0,0.2,0.001,506,0.3205956518650055,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.87737304,0.8845493,23.8,8.2,0.0,48.8,0.32099718451499937,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8532258,0.8405302,30.0,10.0,0.0,62.0
7,0.001,0.0,0.2,0.001,506,0.30348953008651736,0.9008641958236694,0.86032915,1.0,0.75,0.9245451,0.8029501,0.88655794,0.8926134,24.0,8.0,0.0,48.8,0.3815343022346497,0.870588219165802,0.8244912,1.0,0.66999996,0.90379775,0.7432335,0.841492,0.8414569,26.8,13.2,0.0,62.0
8,0.1,0.0,0.4,0.0001,506,0.3550378382205963,0.8810185194015503,0.841307,0.9916667,0.7125,0.910052,0.76069826,0.8639084,0.8652498,22.8,9.2,0.4,48.4,0.3496785402297974,0.8862745046615601,0.8501415,0.9870968,0.73,0.9134973,0.7682122,0.85157263,0.86189634,29.2,10.8,0.8,61.2
9,0.1,0.2,0.2,0.0001,506,0.3185685336589813,0.8935802459716797,0.8511615,1.0,0.73125,0.9193419,0.7886676,0.8632759,0.86963826,23.4,8.6,0.0,48.8,0.2545696198940277,0.9274509668350219,0.897954,0.9935484,0.825,0.9433235,0.8516916,0.8974597,0.8955635,33.0,7.0,0.4,61.6
