config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.4,0.001,506,0.2727485477924347,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.9001913,0.9192883,24.2,7.8,0.0,48.8,0.3398527204990387,0.8803921580314636,0.83739346,0.9967742,0.7,0.91015244,0.76069605,0.8473387,0.84853077,28.0,12.0,0.2,61.8
1,0.01,0.0,0.0,0.01,506,0.2879744440317154,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.89557296,0.90632725,23.6,8.4,0.0,48.8,0.27796401977539065,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8827419,0.8887269,31.0,9.0,0.0,62.0
2,0.01,0.0,0.2,0.1,506,0.2943199723958969,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.89157504,0.9004073,23.4,8.6,0.0,48.8,0.26794180274009705,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8891532,0.89558446,32.0,8.0,0.0,62.0
3,0.01,0.2,0.2,0.1,506,0.27065409719944,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.905959,0.90950185,24.4,7.6,0.0,48.8,0.35095733404159546,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8445161,0.8738905,27.0,13.0,0.0,62.0
4,0.01,0.0,0.4,0.1,506,0.29145593047142027,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.8878521,0.88482666,23.6,8.4,0.0,48.8,0.2595696449279785,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.92318547,0.9155407,31.0,9.0,0.0,62.0
5,0.01,0.0,0.4,0.1,506,0.28999735713005065,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.8900922,0.8990817,23.8,8.2,0.0,48.8,0.28390254378318786,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8968951,0.89713496,30.0,10.0,0.0,62.0
6,0.001,0.2,0.0,0.01,506,0.29041452407836915,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8836815,0.8889147,23.8,8.2,0.0,48.8,0.2868868768215179,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8699194,0.8677432,30.0,10.0,0.0,62.0
7,0.01,0.2,0.2,0.01,506,0.27116901278495786,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.9056428,0.9111128,24.4,7.6,0.0,48.8,0.352302747964859,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8382661,0.84609985,27.0,13.0,0.0,62.0
8,0.01,0.4,0.4,0.1,506,0.29204475581645967,0.9009876489639282,0.8626512,0.9959184,0.75625,0.9242069,0.8018093,0.88657266,0.88768923,24.2,7.8,0.2,48.6,0.3121668517589569,0.8901960849761963,0.85858583,0.9806452,0.75,0.91529846,0.77638376,0.8544758,0.841863,30.0,10.0,1.2,60.8
9,0.01,0.2,0.4,0.1,506,0.30458302795886993,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8742348,0.8727719,23.2,8.8,0.0,48.8,0.2293519288301468,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9422984,0.94817287,33.0,7.0,0.0,62.0
