inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,logdir,inner_es_precision,inner_es_recall,inner_es_specificity,inner_es_f1_score,inner_es_mcc,inner_es_auroc,inner_es_auprc,inner_es_true_positives,inner_es_false_negatives,inner_es_false_positives,inner_es_true_negatives,val_precision,val_recall,val_specificity,val_f1_score,val_mcc,val_auroc,val_auprc,val_true_positives,val_false_negatives,val_false_positives,val_true_negatives
0.7866578698158264,0.8571428656578064,0.7811594605445862,0.8115941882133484,206,1768090491,,False,1,80a1b_00379,2026-01-11_01-14-51,208.123517036438,208.123517036438,2894266,ggpu110,10.241.148.10,208.123517036438,1,0.1,0.01,689,0,0,0.0,0.8,80a1b_00379,0.8333333,0.89285713,0.8214286,0.86206895,0.7161149,0.92346936,0.9175421,23.0,5.0,3.0,25.0,0.7894737,0.85714287,0.7647059,0.82191783,0.625008,0.90840334,0.91150856,26.0,8.0,5.0,30.0
0.36208608746528625,0.8392857313156128,0.36673736572265625,0.7681159377098083,136,1768090275,,False,1,80a1b_00378,2026-01-11_01-11-15,163.78121137619019,163.78121137619019,2893104,ggpu110,10.241.148.10,163.78121137619019,1,0.1,0.01,689,0,0,0.0,0.6,80a1b_00378,0.7714286,0.96428573,0.71428573,0.85714287,0.7008256,0.92474484,0.92053175,20.0,8.0,1.0,27.0,0.70212764,0.94285715,0.5882353,0.80487806,0.5697487,0.9445379,0.95523316,20.0,14.0,2.0,33.0
3.9318878650665283,0.6607142686843872,6.166881561279297,0.49275362491607666,36,1768090100,,False,1,80a1b_00377,2026-01-11_01-08-20,100.765545129776,100.765545129776,2892017,ggpu110,10.241.148.10,100.765545129776,1,0.1,0.01,689,0,0,0.0,0.4,80a1b_00377,0.60465115,0.9285714,0.39285713,0.73239434,0.38065946,0.73341835,0.7007494,11.0,17.0,2.0,26.0,0.5,0.62857145,0.3529412,0.556962,-0.019228831,0.50840336,0.49155855,12.0,22.0,13.0,22.0
0.3439461886882782,0.8392857313156128,0.3722909688949585,0.8405796885490417,225,1768089862,,False,1,80a1b_00375,2026-01-11_01-04-22,218.97284936904907,218.97284936904907,2890123,ggpu110,10.241.148.10,218.97284936904907,1,0.1,0.01,689,0,0,0.0,0.0,80a1b_00375,0.7878788,0.9285714,0.75,0.852459,0.6896563,0.92857146,0.9326463,21.0,7.0,2.0,26.0,0.78571427,0.94285715,0.7352941,0.85714287,0.694694,0.912605,0.923903,25.0,9.0,2.0,33.0
0.4043240547180176,0.875,0.4160943925380707,0.8550724387168884,8227,1768089632,,False,1,80a1b_00373,2026-01-11_01-00-32,5091.5960812568665,5091.5960812568665,2881202,ggpu110,10.241.148.10,5091.5960812568665,1,1e-05,0.001,689,0,0,0.8,0.6,80a1b_00373,0.8181818,0.96428573,0.78571427,0.8852459,0.7622517,0.90816325,0.8955858,22.0,6.0,1.0,27.0,0.82051283,0.9142857,0.7941176,0.8648649,0.7144324,0.93613446,0.9438432,27.0,7.0,3.0,32.0
0.3763884902000427,0.8214285969734192,0.37720340490341187,0.8115941882133484,7993,1768087736,,False,1,80a1b_00372,2026-01-11_00-28-56,4979.507256746292,4979.507256746292,2877419,ggpu110,10.241.148.10,4979.507256746292,1,1e-05,0.001,689,0,0,0.8,0.4,80a1b_00372,0.78125,0.89285713,0.75,0.8333333,0.649519,0.92091835,0.9184308,21.0,7.0,3.0,25.0,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9445378,0.9535787,25.0,9.0,4.0,31.0
0.38034242391586304,0.8392857313156128,0.3837819993495941,0.8115941882133484,6215,1768084532,,False,1,80a1b_00371,2026-01-10_23-35-32,3852.575732946396,3852.575732946396,2873861,ggpu110,10.241.148.10,3852.575732946396,1,1e-05,0.001,689,0,0,0.8,0.2,80a1b_00371,0.8064516,0.89285713,0.78571427,0.84745765,0.6825002,0.9196428,0.9143264,22.0,6.0,3.0,25.0,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9495798,0.957229,25.0,9.0,4.0,31.0
0.36503273248672485,0.8214285969734192,0.3615124821662903,0.8260869383811951,7004,1768082748,,False,1,80a1b_00370,2026-01-10_23-05-48,4297.98096871376,4297.98096871376,2869998,ggpu110,10.241.148.10,4297.98096871376,1,1e-05,0.001,689,0,0,0.8,0.0,80a1b_00370,0.78125,0.89285713,0.75,0.8333333,0.649519,0.929847,0.92963064,21.0,7.0,3.0,25.0,0.7804878,0.9142857,0.7352941,0.84210527,0.6613556,0.9411764,0.95050764,25.0,9.0,3.0,32.0
0.3937447965145111,0.8392857313156128,0.4056902229785919,0.7536231875419617,9994,1768080670,,False,1,80a1b_00369,2026-01-10_22-31-10,6121.016893148422,6121.016893148422,2863935,ggpu110,10.241.148.10,6121.016893148422,1,1e-05,0.001,689,0,0,0.6,0.8,80a1b_00369,0.7714286,0.96428573,0.71428573,0.85714287,0.7008256,0.9094388,0.89947915,20.0,8.0,1.0,27.0,0.68,0.9714286,0.5294118,0.8,0.5605456,0.9403361,0.9498648,18.0,16.0,1.0,34.0
0.3674479126930237,0.8035714030265808,0.3628338873386383,0.8115941882133484,7410,1768078442,,False,1,80a1b_00368,2026-01-10_21-54-02,4605.046657562256,4605.046657562256,2862028,ggpu110,10.241.148.10,4605.046657562256,1,1e-05,0.001,689,0,0,0.6,0.6,80a1b_00368,0.75757575,0.89285713,0.71428573,0.8196721,0.6170609,0.9272959,0.9266683,20.0,8.0,3.0,25.0,0.75,0.94285715,0.6764706,0.835443,0.6441658,0.93949574,0.9519516,23.0,11.0,2.0,33.0
