outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate
0.38646504282951355,0.8518518805503845,0.3765408396720886,0.8529411554336548,370,1731110978,,False,1,3f00b_00000,2024-11-09_01-09-38,263.14953875541687,263.14953875541687,133570,agq010,10.108.101.10,263.14953875541687,1,0,3f00b_00000,0,0.0001,0.001,506,0.4
0.352037638425827,0.8765432238578796,0.3743990957736969,0.8627451062202454,393,1731110985,,False,1,3f00b_00001,2024-11-09_01-09-45,270.2383065223694,270.2383065223694,133568,agq010,10.108.101.10,270.2383065223694,1,1,3f00b_00001,0,0.0001,0.001,506,0.4
0.3004373610019684,0.9135802388191223,0.37803366780281067,0.8627451062202454,294,1731110966,,False,1,3f00b_00002,2024-11-09_01-09-26,250.99063754081726,250.99063754081726,133571,agq010,10.108.101.10,250.99063754081726,1,2,3f00b_00002,0,0.0001,0.001,506,0.4
0.3742658495903015,0.8518518805503845,0.37132591009140015,0.8823529481887817,552,1731110998,,False,1,3f00b_00003,2024-11-09_01-09-58,283.0613703727722,283.0613703727722,133569,agq010,10.108.101.10,283.0613703727722,1,3,3f00b_00003,0,0.0001,0.001,506,0.4
0.16612902283668518,0.9624999761581421,0.3696393668651581,0.8725489974021912,812,1731110982,,False,1,3f00b_00004,2024-11-09_01-09-42,266.4166986942291,266.4166986942291,129292,agq011,10.108.101.11,266.4166986942291,1,4,3f00b_00004,0,0.0001,0.001,506,0.4
0.3258382976055145,0.8765432238578796,0.3109736144542694,0.9019607901573181,105,1731110880,,False,1,3f00b_00005,2024-11-09_01-08-00,165.3342547416687,165.3342547416687,129289,agq011,10.108.101.11,165.3342547416687,1,0,3f00b_00005,1,0.001,0.01,506,0.0
0.2787383198738098,0.9135802388191223,0.3059895634651184,0.9019607901573181,111,1731110887,,False,1,3f00b_00006,2024-11-09_01-08-07,172.331561088562,172.331561088562,129291,agq011,10.108.101.11,172.331561088562,1,1,3f00b_00006,1,0.001,0.01,506,0.0
0.45702144503593445,0.8024691343307495,0.3301149308681488,0.9019607901573181,109,1731110882,,False,1,3f00b_00007,2024-11-09_01-08-02,166.4967885017395,166.4967885017395,129290,agq011,10.108.101.11,166.4967885017395,1,2,3f00b_00007,1,0.001,0.01,506,0.0
0.281251460313797,0.9012345671653748,0.31448280811309814,0.9019607901573181,122,1731111084,,False,1,3f00b_00008,2024-11-09_01-11-24,150.79426550865173,150.79426550865173,130844,agq011,10.108.101.11,150.79426550865173,1,3,3f00b_00008,1,0.001,0.01,506,0.0
0.30872851610183716,0.8999999761581421,0.3188496530056,0.9019607901573181,117,1731111085,,False,1,3f00b_00009,2024-11-09_01-11-25,151.53541469573975,151.53541469573975,130856,agq011,10.108.101.11,151.53541469573975,1,4,3f00b_00009,1,0.001,0.01,506,0.0
0.2005513310432434,0.9506173133850098,0.2913108468055725,0.9215686321258545,95,1731111083,,False,1,3f00b_00010,2024-11-09_01-11-23,149.6643316745758,149.6643316745758,131039,agq011,10.108.101.11,149.6643316745758,1,0,3f00b_00010,2,0.001,0.01,506,0.0
0.36718329787254333,0.8641975522041321,0.29526403546333313,0.9215686321258545,110,1731111173,,False,1,3f00b_00011,2024-11-09_01-12-53,167.20404243469238,167.20404243469238,135163,agq010,10.108.101.10,167.20404243469238,1,1,3f00b_00011,2,0.001,0.01,506,0.0
0.36971956491470337,0.8765432238578796,0.3060591518878937,0.9117646813392639,257,1731111192,,False,1,3f00b_00012,2024-11-09_01-13-12,186.79844164848328,186.79844164848328,135307,agq010,10.108.101.10,186.79844164848328,1,2,3f00b_00012,2,0.001,0.01,506,0.0
0.3542003333568573,0.8641975522041321,0.29856741428375244,0.9215686321258545,110,1731111150,,False,1,3f00b_00013,2024-11-09_01-12-30,103.84987688064575,103.84987688064575,131866,agq011,10.108.101.11,103.84987688064575,1,3,3f00b_00013,2,0.001,0.01,506,0.0
0.39245840907096863,0.862500011920929,0.29482245445251465,0.9215686321258545,98,1731111172,,False,1,3f00b_00014,2024-11-09_01-12-52,166.19380140304565,166.19380140304565,135501,agq010,10.108.101.10,166.19380140304565,1,4,3f00b_00014,2,0.001,0.01,506,0.0
0.3333197236061096,0.8765432238578796,0.42653918266296387,0.8333333134651184,132,1731111185,,False,1,3f00b_00015,2024-11-09_01-13-05,166.20946216583252,166.20946216583252,135642,agq010,10.108.101.10,166.20946216583252,1,0,3f00b_00015,3,0.001,0.001,506,0.4
0.2223578542470932,0.9382715821266174,0.4813198149204254,0.8235294222831726,239,1731111319,,False,1,3f00b_00016,2024-11-09_01-15-19,190.82063746452332,190.82063746452332,132690,agq011,10.108.101.11,190.82063746452332,1,1,3f00b_00016,3,0.001,0.001,506,0.4
0.3277558386325836,0.8765432238578796,0.43911483883857727,0.8333333134651184,191,1731111309,,False,1,3f00b_00017,2024-11-09_01-15-09,180.68646693229675,180.68646693229675,132710,agq011,10.108.101.11,180.68646693229675,1,2,3f00b_00017,3,0.001,0.001,506,0.4
0.27705711126327515,0.9135802388191223,0.4411226809024811,0.843137264251709,209,1731111310,,False,1,3f00b_00018,2024-11-09_01-15-10,181.7838830947876,181.7838830947876,132712,agq011,10.108.101.11,181.7838830947876,1,3,3f00b_00018,3,0.001,0.001,506,0.4
0.29749393463134766,0.8999999761581421,0.4839298129081726,0.8235294222831726,225,1731111353,,False,1,3f00b_00019,2024-11-09_01-15-53,152.50842475891113,152.50842475891113,133425,agq011,10.108.101.11,152.50842475891113,1,4,3f00b_00019,3,0.001,0.001,506,0.4
0.3531740605831146,0.8765432238578796,0.352253258228302,0.8627451062202454,2351,1731112114,,False,1,3f00b_00020,2024-11-09_01-28-34,907.8525922298431,907.8525922298431,137076,agq010,10.108.101.10,907.8525922298431,1,0,3f00b_00020,4,1e-05,0.01,506,0.2
0.3683355748653412,0.8518518805503845,0.3556618094444275,0.8627451062202454,1681,1731111959,,False,1,3f00b_00021,2024-11-09_01-25-59,753.583607673645,753.583607673645,137075,agq010,10.108.101.10,753.583607673645,1,1,3f00b_00021,4,1e-05,0.01,506,0.2
0.34098193049430847,0.8888888955116272,0.35170021653175354,0.8627451062202454,1753,1731111967,,False,1,3f00b_00022,2024-11-09_01-26-07,761.5566284656525,761.5566284656525,137335,agq010,10.108.101.10,761.5566284656525,1,2,3f00b_00022,4,1e-05,0.01,506,0.2
