outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,outer_es_precision,outer_es_recall,outer_es_specificity,outer_es_f1_score,outer_es_mcc,outer_es_auroc,outer_es_auprc,outer_es_true_positives,outer_es_false_negatives,outer_es_false_positives,outer_es_true_negatives,test_precision,test_recall,test_specificity,test_f1_score,test_mcc,test_auroc,test_auprc,test_true_positives,test_false_negatives,test_false_positives,test_true_negatives
0.44711652398109436,0.8271604776382446,0.4035525321960449,0.8627451062202454,772,1767907328,,False,1,190da_00000,2026-01-08_22-22-08,419.3354856967926,419.3354856967926,2827076,ggpu133,10.241.148.33,419.3354856967926,1,0,190da_00000,0,0.01,0.0,506,0.0,0.0,0.7966102,0.9591837,0.625,0.8703704,0.642074,0.7904975,0.7899408,20.0,12.0,2.0,47.0,0.85294116,0.9354839,0.75,0.8923077,0.7099523,0.87782264,0.90663636,30.0,10.0,4.0,58.0
0.44414862990379333,0.8395061492919922,0.38443490862846375,0.8529411554336548,810,1767907352,,False,1,190da_00001,2026-01-08_22-22-32,443.23672246932983,443.23672246932983,2827077,ggpu133,10.241.148.33,443.23672246932983,1,1,190da_00001,0,0.01,0.0,506,0.0,0.0,0.84615386,0.8979592,0.75,0.8712871,0.66072387,0.8376913,0.834363,24.0,8.0,5.0,44.0,0.8405797,0.9354839,0.725,0.8854962,0.68929726,0.8959677,0.92353415,29.0,11.0,4.0,58.0
0.43039336800575256,0.8271604776382446,0.3919628858566284,0.8529411554336548,1403,1767907634,,False,1,190da_00002,2026-01-08_22-27-14,724.8025999069214,724.8025999069214,2827078,ggpu133,10.241.148.33,724.8025999069214,1,2,190da_00002,0,0.01,0.0,506,0.0,0.0,0.8301887,0.8979592,0.71875,0.8627451,0.633923,0.8616072,0.852069,23.0,9.0,5.0,44.0,0.8405797,0.9354839,0.725,0.8854962,0.68929726,0.8810483,0.9018793,29.0,11.0,4.0,58.0
0.6708815097808838,0.604938268661499,0.6696586012840271,0.6078431606292725,23,1767906982,,False,1,190da_00003,2026-01-08_22-16-22,73.32827520370483,73.32827520370483,2827079,ggpu133,10.241.148.33,73.32827520370483,1,3,190da_00003,0,0.01,0.0,506,0.0,0.0,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5117985,0.6401857,0.0,32.0,0.0,49.0,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6328721,0.0,40.0,0.0,62.0
0.32202765345573425,0.925000011920929,0.38702675700187683,0.843137264251709,2559,1767908225,,False,1,190da_00004,2026-01-08_22-37-05,1235.1566722393036,1235.1566722393036,2829248,ggpu133,10.241.148.33,1235.1566722393036,1,4,190da_00004,0,0.01,0.0,506,0.0,0.0,0.90384614,0.9791667,0.84375,0.94,0.84522194,0.8997397,0.88973546,27.0,5.0,1.0,47.0,0.8382353,0.91935486,0.725,0.8769231,0.6673552,0.875,0.89696544,29.0,11.0,5.0,57.0
0.6666406989097595,0.604938268661499,0.6697902083396912,0.5980392098426819,579,1767907666,,False,1,190da_00005,2026-01-08_22-27-46,330.2166545391083,330.2166545391083,2830396,ggpu133,10.241.148.33,330.2166545391083,1,0,190da_00005,1,0.001,0.0001,506,0.0,0.0,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5398597,0.672368,0.0,32.0,0.0,49.0,0.6060606,0.9677419,0.025,0.7453416,-0.02097338,0.57016134,0.6554913,1.0,39.0,2.0,60.0
0.3918992877006531,0.8641975522041321,0.41098952293395996,0.843137264251709,3401,1767909014,,False,1,190da_00006,2026-01-08_22-50-14,1653.9493424892426,1653.9493424892426,2831032,ggpu133,10.241.148.33,1653.9493424892426,1,1,190da_00006,1,0.001,0.0001,506,0.0,0.0,0.8518519,0.93877554,0.75,0.89320385,0.71428573,0.8711735,0.8666034,24.0,8.0,3.0,46.0,0.8484849,0.9032258,0.75,0.875,0.6673689,0.86774194,0.8168299,30.0,10.0,6.0,56.0
0.48975592851638794,0.7777777910232544,0.4065510630607605,0.843137264251709,2453,1767908831,,False,1,190da_00007,2026-01-08_22-47-11,1188.7069187164307,1188.7069187164307,2832102,ggpu133,10.241.148.33,1188.7069187164307,1,2,190da_00007,1,0.001,0.0001,506,0.0,0.0,0.7719298,0.8979592,0.59375,0.8301887,0.52642715,0.8109056,0.8170958,19.0,13.0,5.0,44.0,0.8484849,0.9032258,0.75,0.875,0.6673689,0.8806451,0.8602017,30.0,10.0,6.0,56.0
0.33184975385665894,0.9135802388191223,0.39428985118865967,0.8529411554336548,3041,1767909142,,False,1,190da_00008,2026-01-08_22-52-22,1468.0723357200623,1468.0723357200623,2832749,ggpu133,10.241.148.33,1468.0723357200623,1,3,190da_00008,1,0.001,0.0001,506,0.0,0.0,0.8888889,0.97959185,0.8125,0.93203884,0.8214286,0.9276148,0.9438003,26.0,6.0,1.0,48.0,0.8507463,0.91935486,0.75,0.88372093,0.6883524,0.8818548,0.86099565,30.0,10.0,5.0,57.0
0.6729218363761902,0.6000000238418579,0.669922947883606,0.6078431606292725,28,1767908314,,False,1,190da_00009,2026-01-08_22-38-34,75.59022951126099,75.59022951126099,2834345,ggpu133,10.241.148.33,75.59022951126099,1,4,190da_00009,1,0.001,0.0001,506,0.0,0.0,0.6,1.0,0.0,0.75,0.045643546,0.516276,0.63025784,0.0,32.0,0.0,48.0,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43870965,0.58880323,0.0,40.0,0.0,62.0
