config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,0.0,506,0.4629135370254517,0.8047530770301818,0.79634744,0.94685376,0.5875,0.8596498,0.5659289,0.7802669,0.80125886,18.8,13.2,2.6,46.2,0.4473271369934082,0.8039215683937073,0.7960358,0.9451612,0.58500004,0.8592642,0.5599287,0.8078226,0.85237753,23.4,16.6,3.4,58.6
1,0.001,0.0,0.0,0.0001,506,0.5106135010719299,0.7520987749099731,0.7435218,0.9632653,0.43125,0.8318555,0.43109733,0.73316586,0.78602505,13.8,18.2,1.8,47.0,0.5103087186813354,0.7490196108818055,0.752324,0.9387096,0.455,0.82703197,0.40917167,0.7278226,0.75646436,18.2,21.8,3.8,58.2
2,0.01,0.0,0.0,0.0001,506,0.4715112566947937,0.7970987558364868,0.79219687,0.9384354,0.58125,0.8536786,0.54795325,0.79842025,0.8146585,18.6,13.4,3.0,45.8,0.4115265965461731,0.8352941155433655,0.81939375,0.97096777,0.625,0.8837072,0.62886333,0.79125005,0.824371,25.0,15.0,1.8,60.2
3,0.01,0.0,0.0,0.0,506,0.4237466394901276,0.8070679068565368,0.80882883,0.9302721,0.61875,0.85915774,0.56956065,0.81115407,0.8429537,19.8,12.2,3.4,45.4,0.5462814450263977,0.7725490212440491,0.7728141,0.9193548,0.54499996,0.8346388,0.4923276,0.73088706,0.7473773,21.8,18.2,5.0,57.0
4,0.01,0.0,0.0,0.0,506,0.3781623303890228,0.859074068069458,0.8495898,0.9345239,0.74375,0.8894846,0.7042144,0.868358,0.8642079,23.8,8.2,3.2,45.6,0.42165201902389526,0.8156862735748291,0.8419403,0.85806453,0.75,0.84980977,0.61179733,0.8739114,0.89704597,30.0,10.0,8.8,53.2
5,0.01,0.0,0.0,0.0,506,0.49668691158294676,0.7496296286582946,0.74703157,0.9510204,0.44375,0.8281808,0.42684895,0.74233234,0.8088007,14.2,17.8,2.4,46.4,0.5453633844852448,0.7529411792755127,0.7456502,0.96129036,0.43,0.8322854,0.42893657,0.6535888,0.70767766,17.2,22.8,2.4,59.6
6,0.01,0.0,0.0,0.0001,506,0.44212607145309446,0.8145061731338501,0.80000544,0.95909864,0.59375,0.8674571,0.58745164,0.8067416,0.8257557,19.0,13.0,2.0,46.8,0.4507839739322662,0.8098039269447327,0.80158794,0.948387,0.59499997,0.86366445,0.57307166,0.7876614,0.83007365,23.8,16.2,3.2,58.8
7,0.01,0.0,0.0,0.0001,506,0.49800536036491394,0.7446913599967957,0.74611586,0.94285715,0.44375,0.82404137,0.41510147,0.75643474,0.8109938,14.2,17.8,2.8,46.0,0.5723228931427002,0.7274509906768799,0.7237894,0.9451612,0.39,0.8132776,0.3712657,0.68431455,0.729761,15.6,24.4,3.4,58.6
8,0.001,0.0,0.0,0.0,506,0.5127970337867737,0.7471605062484741,0.739958,0.9591837,0.425,0.82787275,0.42129835,0.7359508,0.7829834,13.6,18.4,2.0,46.8,0.5309560239315033,0.7352941274642945,0.73130393,0.94838715,0.40500003,0.81892526,0.38832188,0.71455646,0.77173895,16.2,23.8,3.2,58.8
9,0.01,0.0,0.0,0.0001,506,0.457254683971405,0.7897530913352966,0.7799109,0.94260204,0.55625,0.8489078,0.5326892,0.7922274,0.8356768,17.8,14.2,2.8,46.0,0.3947544634342194,0.8470588207244873,0.8306448,0.9774194,0.645,0.8927964,0.6536683,0.8493145,0.8593399,25.8,14.2,1.4,60.6
