,outer_es_loss,outer_es_accuracy,test_loss,test_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/es_folds,logdir,config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,config/train_loop_config/dropout_rate,outer_es_precision,outer_es_recall,outer_es_specificity,outer_es_f1_score,outer_es_mcc,outer_es_auroc,outer_es_auprc,outer_es_true_positives,outer_es_false_negatives,outer_es_false_positives,outer_es_true_negatives,test_precision,test_recall,test_specificity,test_f1_score,test_mcc,test_auroc,test_auprc,test_true_positives,test_false_negatives,test_false_positives,test_true_negatives
0,0.2674831748008728,0.900900900363922,0.2597693204879761,0.8913043737411499,2935,1769412911,,False,1,4bdaf_00000,2026-01-26_08-35-11,9116.264876127245,9116.264876127245,2524321,ggpu134,10.241.148.34,9116.264876127245,1,0,4bdaf_00000,0,0.01,0.0,689,0.0,0.89830506,0.9137931,0.8867925,0.9059829,0.801368,0.9551074,0.95639306,47.0,6.0,5.0,53.0,0.8607595,0.9444444,0.8333333,0.90066224,0.7853337,0.962963,0.96389896,55.0,11.0,4.0,68.0
1,0.239720419049263,0.9090909361839294,0.263150155544281,0.8768116235733032,2949,1769412875,,False,1,4bdaf_00001,2026-01-26_08-34-35,9081.1566092968,9081.1566092968,2524322,ggpu134,10.241.148.34,9081.1566092968,1,1,4bdaf_00001,0,0.01,0.0,689,0.0,0.88709676,0.94827586,0.86538464,0.9166667,0.8191104,0.9598806,0.9583901,45.0,7.0,3.0,55.0,0.83950615,0.9444444,0.8030303,0.8888889,0.758324,0.9635943,0.9653455,53.0,13.0,4.0,68.0
2,0.2689980566501617,0.8999999761581421,0.3057707250118255,0.8768116235733032,1440,1769408429,,False,1,4bdaf_00002,2026-01-26_07-20-29,4635.223176002502,4635.223176002502,2524355,ggpu134,10.241.148.34,4635.223176002502,1,2,4bdaf_00002,0,0.01,0.0,689,0.0,0.8852459,0.9310345,0.86538464,0.90756303,0.80000806,0.9532493,0.9552546,45.0,7.0,4.0,54.0,0.8313253,0.9583333,0.7878788,0.89032257,0.7613426,0.94486535,0.94161963,52.0,14.0,3.0,69.0
3,0.249860405921936,0.8909090757369995,0.2779262065887451,0.8768116235733032,2750,1769412287,,False,1,4bdaf_00003,2026-01-26_08-24-47,8492.947782993317,8492.947782993317,2524356,ggpu134,10.241.148.34,8492.947782993317,1,3,4bdaf_00003,0,0.01,0.0,689,0.0,0.86885244,0.9298246,0.8490566,0.89830506,0.78303933,0.9625952,0.9667465,45.0,8.0,4.0,53.0,0.8235294,0.9722222,0.77272725,0.89171976,0.76509905,0.96338385,0.9650131,51.0,15.0,2.0,70.0
4,0.2208206802606582,0.8818181753158569,0.3014347851276397,0.8695651888847351,3165,1769418212,,False,1,4bdaf_00004,2026-01-26_10-03-32,9774.383991718292,9774.383991718292,2533172,ggpu134,10.241.148.34,9774.383991718292,1,4,4bdaf_00004,0,0.01,0.0,689,0.0,0.8666667,0.9122807,0.8490566,0.8888889,0.7639973,0.9698775,0.9723514,45.0,8.0,5.0,52.0,0.8375,0.9305556,0.8030303,0.8815789,0.7423867,0.9526515,0.9494193,53.0,13.0,5.0,67.0
5,0.2322168499231338,0.8918918967247009,0.2227985858917236,0.8768116235733032,3267,1769339191,,False,1,4f198_00000,2026-01-25_12-06-31,10107.570403575895,10107.570403575895,2563622,ggpu126,10.241.148.26,10107.570403575895,1,0,4f198_00000,1,0.01,0.0,689,0.0,0.8833333,0.9137931,0.8679245,0.89830506,0.78350383,0.9671438,0.9701109,46.0,7.0,5.0,53.0,0.8767123,0.8888889,0.8636364,0.8827586,0.7530801,0.96611947,0.96655935,57.0,9.0,8.0,64.0
6,0.3944705128669739,0.8818181753158569,0.2994128167629242,0.8840579986572266,838,1769331886,,False,1,4f198_00002,2026-01-25_10-04-46,2803.152671098709,2803.152671098709,2563624,ggpu126,10.241.148.26,2803.152671098709,1,2,4f198_00002,1,0.01,0.0,689,0.0,0.8548387,0.9298246,0.8301887,0.8907563,0.7657378,0.89870894,0.8642953,44.0,9.0,4.0,53.0,0.8888889,0.8888889,0.8787879,0.8888889,0.7676768,0.9421296,0.93219393,58.0,8.0,8.0,64.0
7,0.2683761417865753,0.8363636136054993,0.262415736913681,0.8840579986572266,2326,1769336348,,False,1,4f198_00001,2026-01-25_11-19-08,7263.820466995239,7263.820466995239,2563623,ggpu126,10.241.148.26,7263.820466995239,1,1,4f198_00001,1,0.01,0.0,689,0.0,0.84210527,0.84210527,0.8301887,0.84210527,0.67229396,0.95167166,0.9498281,44.0,9.0,9.0,48.0,0.85897434,0.9305556,0.8333333,0.8933333,0.76974255,0.95117843,0.94748145,55.0,11.0,5.0,67.0
8,0.2405487298965454,0.9090909361839294,0.2725160121917724,0.8913043737411499,2602,1769337181,,False,1,4f198_00004,2026-01-25_11-33-01,8097.866610527039,8097.866610527039,2563625,ggpu126,10.241.148.26,8097.866610527039,1,4,4f198_00004,1,0.01,0.0,689,0.0,0.9,0.9310345,0.88461536,0.91525424,0.817822,0.96551734,0.9733357,46.0,6.0,4.0,54.0,0.90140843,0.8888889,0.8939394,0.8951049,0.78241676,0.95244104,0.95258754,59.0,7.0,8.0,64.0
9,0.2226157486438751,0.9090909361839294,0.2840681374073028,0.8623188138008118,2308,1769339072,,False,1,4f198_00003,2026-01-25_12-04-32,7177.636454343796,7177.636454343796,2569344,ggpu126,10.241.148.26,7177.636454343796,1,3,4f198_00003,1,0.01,0.0,689,0.0,0.9137931,0.9137931,0.90384614,0.9137931,0.81763923,0.9718169,0.9775341,47.0,5.0,5.0,53.0,0.884058,0.8472222,0.8787879,0.8652482,0.72532356,0.9515994,0.95272815,58.0,8.0,11.0,61.0
