inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,logdir
0.6710761189460754,0.604938268661499,0.6701565384864807,0.6078431606292725,29,1730067927,,False,1,b6fff_00010,2024-10-27_23-25-27,261.59091782569885,261.59091782569885,144019,agq009,10.108.101.9,261.59091782569885,1,0.001,0.0,0.0,506,0,0,b6fff_00010
0.5466924905776978,0.7407407164573669,0.5385523438453674,0.7450980544090271,3787,1730072471,,False,1,b6fff_00011,2024-10-28_00-41-11,4687.858602285385,4687.858602285385,145937,agq009,10.108.101.9,4687.858602285385,1,0.001,0.0,0.2,506,0,0,b6fff_00011
0.6710829138755798,0.604938268661499,0.6701207756996155,0.6078431606292725,25,1730068213,,False,1,b6fff_00012,2024-10-27_23-30-13,255.00750374794006,255.00750374794006,148081,agq009,10.108.101.9,255.00750374794006,1,0.001,0.0,0.4,506,0,0,b6fff_00012
0.6710851788520813,0.604938268661499,0.6701292395591736,0.6078431606292725,33,1730068508,,False,1,b6fff_00013,2024-10-27_23-35-08,265.19084763526917,265.19084763526917,151901,agq009,10.108.101.9,265.19084763526917,1,0.001,0.0,0.6,506,0,0,b6fff_00013
0.6713381409645081,0.604938268661499,0.67049640417099,0.6078431606292725,40,1730068597,,False,1,b6fff_00014,2024-10-27_23-36-37,273.8300805091858,273.8300805091858,153256,agq009,10.108.101.9,273.8300805091858,1,0.001,0.0,0.8,506,0,0,b6fff_00014
0.5213929414749146,0.8148148059844971,0.5385094881057739,0.7941176295280457,9999,1730080807,,False,1,b6fff_00015,2024-10-28_03-00-07,12268.604557037354,12268.604557037354,156141,agq009,10.108.101.9,12268.604557037354,1,0.0001,0.0,0.0,506,0,0,b6fff_00015
0.6710610389709473,0.604938268661499,0.6701003909111023,0.6078431606292725,475,1730069410,,False,1,b6fff_00016,2024-10-27_23-50-10,781.3412935733795,781.3412935733795,157542,agq009,10.108.101.9,781.3412935733795,1,0.0001,0.0,0.2,506,0,0,b6fff_00016
0.6710672974586487,0.604938268661499,0.6701109409332275,0.6078431606292725,473,1730070227,,False,1,b6fff_00017,2024-10-28_00-03-47,786.0086894035339,786.0086894035339,167176,agq009,10.108.101.9,786.0086894035339,1,0.0001,0.0,0.4,506,0,0,b6fff_00017
0.6710845828056335,0.604938268661499,0.670147180557251,0.6078431606292725,533,1730071126,,False,1,b6fff_00018,2024-10-28_00-18-46,868.0133316516876,868.0133316516876,176812,agq009,10.108.101.9,868.0133316516876,1,0.0001,0.0,0.6,506,0,0,b6fff_00018
0.6713990569114685,0.604938268661499,0.6705488562583923,0.6078431606292725,619,1730071977,,False,1,b6fff_00019,2024-10-28_00-32-57,963.53084897995,963.53084897995,185722,agq009,10.108.101.9,963.53084897995,1,0.0001,0.0,0.8,506,0,0,b6fff_00019
0.6706624627113342,0.604938268661499,0.6700079441070557,0.6078431606292725,9999,1730083316,,False,1,b6fff_00020,2024-10-28_03-41-56,12158.305040121078,12158.305040121078,187836,agq009,10.108.101.9,12158.305040121078,1,1e-05,0.0,0.0,506,0,0,b6fff_00020
0.6710647344589233,0.604938268661499,0.670114278793335,0.6078431606292725,3555,1730076570,,False,1,b6fff_00021,2024-10-28_01-49-30,4563.020404577255,4563.020404577255,197816,agq009,10.108.101.9,4563.020404577255,1,1e-05,0.0,0.2,506,0,0,b6fff_00021
0.671070396900177,0.604938268661499,0.6701178550720215,0.6078431606292725,4128,1730077753,,False,1,b6fff_00022,2024-10-28_02-09-13,5251.5756249427795,5251.5756249427795,203988,agq009,10.108.101.9,5251.5756249427795,1,1e-05,0.0,0.4,506,0,0,b6fff_00022
