config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.1,0.4,0.4,0.0001,506,0.29613484144210817,0.9036111116409302,0.8651044,1.0,0.75625,0.9269699,0.8082975,0.89164543,0.9003669,24.2,7.8,0.0,48.8,0.3753251016139984,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.8370968,0.8366741,28.0,12.0,0.0,62.0
1,0.1,0.2,0.0,0.001,506,0.3180647611618042,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.87767327,0.87768173,23.6,8.4,0.0,48.8,0.3040591061115265,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.8736291,0.87842435,31.0,9.0,0.0,62.0
1,0.001,0.4,0.2,0.001,506,0.4459492385387421,0.8141975283622742,0.79839814,0.9583333,0.59375,0.8656473,0.59197366,0.8039036,0.82066405,19.0,13.0,2.0,46.8,0.44197089672088624,0.82941175699234,0.8205123,0.95806456,0.63,0.87671965,0.6230907,0.82887095,0.85438585,25.2,14.8,2.6,59.4
2,0.001,0.0,0.4,0.001,506,0.3587880164384842,0.8909876704216003,0.8496305,1.0,0.725,0.9179777,0.784342,0.87060344,0.87364995,23.2,8.8,0.0,48.8,0.323752236366272,0.9078431248664856,0.87277234,0.9935484,0.775,0.9291302,0.81338435,0.8793951,0.86756724,31.0,9.0,0.4,61.6
3,0.1,0.4,0.4,0.0001,506,0.30323804914951324,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.87838936,0.8725063,24.4,7.6,0.0,48.8,0.3633996307849884,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.86588705,0.87462586,27.0,13.0,0.0,62.0
4,0.1,0.2,0.4,0.0001,506,0.3186086922883987,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.864388,0.8627516,23.6,8.4,0.0,48.8,0.2777391016483307,0.9098039031028747,0.8708137,1.0,0.77,0.9309393,0.8188511,0.9041532,0.91723615,30.8,9.2,0.0,62.0
5,0.01,0.0,0.4,0.0001,506,0.3039030790328979,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.86610997,0.8670006,23.8,8.2,0.0,48.8,0.28767201900482176,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8964113,0.9100884,30.0,10.0,0.0,62.0
6,0.001,0.0,0.0,0.001,506,0.3052117168903351,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8872183,0.89274615,23.8,8.2,0.0,48.8,0.3134395837783813,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8504032,0.8339632,30.0,10.0,0.0,62.0
7,0.001,0.0,0.2,0.0,506,0.3011133372783661,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.8794338,0.8825631,24.4,7.6,0.0,48.8,0.3782355606555939,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8429435,0.8567414,27.0,13.0,0.0,62.0
8,0.001,0.0,0.2,0.0001,506,0.3102164387702942,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8719972,0.87166846,23.8,8.2,0.0,48.8,0.31116290092468263,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.854637,0.8586113,30.0,10.0,0.0,62.0
9,0.1,0.0,0.2,0.001,506,0.3268759250640869,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8696163,0.8763132,23.2,8.8,0.0,48.8,0.2656968832015991,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.89068544,0.8937454,33.0,7.0,0.0,62.0
