inner_es_loss,inner_es_accuracy,val_loss,val_accuracy,number_epochs,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/batch_size,config/train_loop_config/dataset_test_round,config/train_loop_config/dataset_fold_round,config/train_loop_config/learning_rate,config/train_loop_config/weight_decay,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,logdir
0.3308360278606415,0.892307698726654,0.354562371969223,0.8888888955116272,346,1733211013,,False,1,117bf_03436,2024-12-03_08-30-13,313.57264733314514,313.57264733314514,2326206,ggpu198,10.241.148.98,313.57264733314514,1,506,7,1,0.01,0.001,0.2,0.4,117bf_03436
0.2845214903354645,0.9230769276618958,0.41612139344215393,0.8518518805503845,492,1733210908,,False,1,117bf_03433,2024-12-03_08-28-28,380.24648666381836,380.24648666381836,2324379,ggpu198,10.241.148.98,380.24648666381836,1,506,6,3,0.01,0.001,0.2,0.4,117bf_03433
0.37121063470840454,0.8769230842590332,0.3878974914550781,0.875,326,1733210866,,False,1,117bf_03434,2024-12-03_08-27-46,296.95070028305054,296.95070028305054,2324984,ggpu198,10.241.148.98,296.95070028305054,1,506,6,4,0.01,0.001,0.2,0.4,117bf_03434
0.4025229215621948,0.8461538553237915,0.3023538589477539,0.9012345671653748,260,1733210682,,False,1,117bf_03432,2024-12-03_08-24-42,266.769469499588,266.769469499588,2323683,ggpu198,10.241.148.98,266.769469499588,1,506,6,2,0.01,0.001,0.2,0.4,117bf_03432
0.2813556492328644,0.9076923131942749,0.28810063004493713,0.9135802388191223,323,1733210641,,False,1,117bf_03431,2024-12-03_08-24-01,293.99937868118286,293.99937868118286,2322840,ggpu198,10.241.148.98,293.99937868118286,1,506,6,1,0.01,0.001,0.2,0.4,117bf_03431
0.4071316123008728,0.8615384697914124,0.2923794984817505,0.9506173133850098,205,1733210551,,False,1,117bf_03430,2024-12-03_08-22-31,211.85992908477783,211.85992908477783,2322611,ggpu198,10.241.148.98,211.85992908477783,1,506,6,0,0.01,0.001,0.2,0.4,117bf_03430
0.3909589946269989,0.8769230842590332,0.3134132921695709,0.925000011920929,238,1733210508,,False,1,117bf_03429,2024-12-03_08-21-48,239.07428121566772,239.07428121566772,2321996,ggpu198,10.241.148.98,239.07428121566772,1,506,5,4,0.01,0.001,0.2,0.4,117bf_03429
0.33516770601272583,0.892307698726654,0.4041135013103485,0.8395061492919922,241,1733210397,,False,1,117bf_03428,2024-12-03_08-19-57,254.59198260307312,254.59198260307312,2321228,ggpu198,10.241.148.98,254.59198260307312,1,506,5,3,0.01,0.001,0.2,0.4,117bf_03428
0.2977885603904724,0.9076923131942749,0.39163967967033386,0.8765432238578796,366,1733210331,,False,1,117bf_03426,2024-12-03_08-18-51,316.7972664833069,316.7972664833069,2319455,ggpu198,10.241.148.98,316.7972664833069,1,506,5,1,0.01,0.001,0.2,0.4,117bf_03426
0.32319092750549316,0.9076923131942749,0.23897406458854675,0.9382715821266174,364,1733210320,,False,1,117bf_03425,2024-12-03_08-18-40,311.3359513282776,311.3359513282776,2319182,ggpu198,10.241.148.98,311.3359513282776,1,506,5,0,0.01,0.001,0.2,0.4,117bf_03425
0.4097330570220947,0.8615384697914124,0.2888995110988617,0.925000011920929,252,1733210250,,False,1,117bf_03424,2024-12-03_08-17-30,250.68834280967712,250.68834280967712,2318887,ggpu198,10.241.148.98,250.68834280967712,1,506,4,4,0.01,0.001,0.2,0.4,117bf_03424
0.6720870733261108,0.6000000238418579,0.6734684109687805,0.604938268661499,2,1733210121,,False,1,117bf_03427,2024-12-03_08-15-21,91.79608368873596,91.79608368873596,2320019,ggpu198,10.241.148.98,91.79608368873596,1,506,5,2,0.01,0.001,0.2,0.4,117bf_03427
0.36967387795448303,0.8615384697914124,0.2650652825832367,0.9259259104728699,279,1733210015,,False,1,117bf_03422,2024-12-03_08-13-35,265.8227291107178,265.8227291107178,2317521,ggpu198,10.241.148.98,265.8227291107178,1,506,4,2,0.01,0.001,0.2,0.4,117bf_03422
